Name of Establishment,Address
ROSE PHARMACY,"J.C. Zulueta St., Brgy. Pob. South, Oton, Iloilo, Western Visayas (Region VI), 5020, Oton, Iloilo"
ROSE PHARMACY,"cor. Araneta & Cartagena Sts., Brgy. Ilaud Poblacion, Barotac Nuevo, Iloilo, Western Visayas (Region VI), 5007, Barotac Nuevo, Iloilo"
DROGALIFE DRUGSTORE,"Purok Santanville, Araneta Street, Brgy Sum-ag, Bacolod City, Negros Occidental"
V'SANDROS PHARMACY,"Cabrera Compound, Lupa, Sitio Cubay, Brgy. Guinhalaran, Silay, Negros Occidental"
BOTICA RAINNE,"BARANGAY TUYOM, Cauayan, Negros Occidental"
Enzo's Pharmacy,"West Timawa, Molo, Iloilo City, Iloilo"
TERRY DRUGSTORE,"Davis Commercial Building, San Miguel, Jordan, Guimaras"
MOMMY JOY PHARMA-MART,"Purok Dap-Dap, Barangay Poblacion, Valladolid, Negros Occidental, Negros Island Region, 6103, Valladolid, Negros Occidental"
CARIMED PHARMACY,"Brgy. Hibao-an Sur, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
FARMACIA DUSTAN,"Pagunsan St., Barangay Ubos (Pob.), Valderrama, Antique, Western Visayas (Region VI), 5703, Valderrama, Antique"
NEGROS GRACE PHARMACY,"Metro Plaza, Bacolod, Negros Occidental"
"Rose Pharmacy, Incorporated","ANA Bldg. Lot 556 Poblacion Sur, Sigma, Capiz"
Auxfred Pharmacy,"Bermejo St., Brgy. Zone III, Cabatuan, Iloilo"
FARMACIA TERESITA,"Arnaldo Blvd., Roxas, Capiz, Western Visayas (Region VI), 5800, Roxas, Capiz"
E-C PHARMACEUTICAL PRODUCTS WHOLESALING,"#6 BR PUEYO BUILDING BURGOS STREET BRGY. BURGOS-MABINI-PLAZA, LA PAZ, Iloilo City, Iloilo"
FARMACIA NI DOK,"Door No.4 Cineplex Bldg., Araneta Street Brgy. 12, Bacolod City, Negros Occidental"
DUREMDES DRUGSTORE,"Burgos-Regidor-Zamora, Dumangas, Iloilo"
KINGSMED PHARMACY AND MEDICAL SUPPLY,"#6 D.B. Ledesma St. Jaro, Iloilo City, Iloilo"
98 EL PHARMACY AND MEDICAL CLINIC,"Zarraga Public Market, Ilawod Poblacion, Zarraga, Iloilo, Western Visayas (Region VI), 5004, Zarraga, Iloilo"
DM &amp; 3J'S PHARMACY,"Fenete St., District III, Sibalom, Antique, Western Visayas (Region VI), 5713, Sibalom, Antique"
APTEK PHARMACY,"Public Market, Poblacion, Culasi, Antique, Western Visayas (Region VI), 5708, Culasi, Antique"
GBX PHARMACY CORPORATION,"Rizal St., Barangay II, Himamaylan, Negros Occidental, Negros Island Region, 6108, Himamaylan, Negros Occidental"
SUPER K DRUG-VI,"Bantud, Barangay Manocmanoc, Boracay Island,, Malay, Aklan, Western Visayas (Region VI), 5608, Malay, Aklan"
RX QUEEN PHARMACY,"Quencita Bldg., E. Lopez St., Jaro, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
RX QUEEN PHARMACY,"PCPM (Passi City Public Market) Main Passi City, Passi, Iloilo, Western Visayas (Region VI), 5037, Passi, Iloilo"
I.S. MEDICINE CORNER,"QHP Commercial Complex, Gen. Luna St., Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
Leomax Drugstore,"Brgy. Poblacion, Leganes, Iloilo"
VACCINE NETWORK PHARMACY,"Room 6 J &amp; E Bldg., North Drive, Bacolod, Negros Occidental"
LTAB PHARMACY,"Zulueta Drive, Poblacion, Barotac Viejo, Iloilo"
Farmacia Osal,"Tingui-an, Balasan, Iloilo"
Bienz Pharmacy,"Purok 3 Lopez Jaena St.,Brgy.Sambag Jaro, Iloilo City, Iloilo"
GALT'Z MEDICAL CLINIC AND PHARMACY,"New Site, Jordan, Guimaras, Western Visayas (Region VI), 5045, Jordan, Guimaras"
Farmacia Natividad,"Brgy. Rumbang, Pototan, Iloilo, Western Visayas (Region VI), 5008, Pototan, Iloilo"
SUPER K DRUG XXIII,"BARANGAY LAWAAN, ROXAS CITY, CAPIZ, Roxas City, Capiz"
GRW DRUGSTORE,". MALILAY BUILDING, ROXAS AVE EXT, ANDAGAO, Kalibo, Aklan"
"Healberg Lifestyle Medical Center and Clinics, Inc.","Robinsons Cybergate Araneta St., Brgy Singcang-Airport, Bacolod City, Negros Occidental"
NEGROS GRACE PHARMACY,"Lopue's San Sebastian St., Bacolod, Negros Occidental"
AGUIRRE DRUGSTORE,"National Road, President Roxas, Capiz, Western Visayas (Region VI), 5803, President Roxas, Capiz"
CARIDAD PHARMACY,"Marc Building, Cabalfin St., Poblacion, Leon, Iloilo, Western Visayas (Region VI), 5026, Leon, Iloilo"
SANTA SUSANA DRUGSTORE,"PUROK 3, SAN JOAQUIN, ILOILO, San Joaquin, Iloilo"
THE GENERICS PHARMACY,"J. Tolosa St., Caticlan, Malay, Aklan, Western Visayas (Region VI), 5608, Malay, Aklan"
Diala Pharmacy,"Barangay Poblacion Ilaya, San Enrique, Iloilo"
GENERIKA DRUGSTORE,"Unit 2, MLT Building, Minglanilla St., Brgy. Suba, Calatrava, Negros Occidental"
"Rose Pharmacy, Incorporated","RNMA Building Bermejo St., Brgy. Zone III, Cabatuan, Iloilo"
RCare Pharmacy,"San Diego St., Brgy. Hipona, Pontevedra, Capiz"
Madolene Pharmacy,"Purok Palma, Barangay Roberto Salas Benedicto, La Carlota City, Negros Occidental"
GENERIKA DRUGSTORE,"Isagani St., Ilawod, Pontevedra, Capiz"
"METRO RETAIL STORES GROUP, INC.","Brgy. Zone 15, Ayala North Point, Talisay, Negros Occidental"
TONISAN PHARMACY,"144-A 19 Martyrs Street, Kalibo, Aklan"
"Rose Pharmacy, Incorporated","Abela Bldg., Hughes St., Barangay IV, Roxas City, Capiz"
GUIMHEALTH PHARMACEUTICAL DISTRIBUTOR AND DRUGSTORE,"GGJ Building, Quezon Street, Barangay Quezon, Arevalo, Iloilo City, Iloilo"
RIOSTAR PHARMACY,"Barangay Poblacion, Ajuy, Iloilo"
GIGI'S PHARMACY,"Brgy. Balucuan, Dao, Capiz, Western Visayas (Region VI), 5810, Dao, Capiz"
Medshoppe Pharmacy,"Poblacion, Malinao, Aklan"
GENERIKA DRUGSTORE,"Zone VI-Balabag Ext., Boracay Island, Malay, Aklan, Western Visayas (Region VI), 5608, Malay, Aklan"
THE GENERICS PHARMACY,"Puregold Building, corner Mabini-Libertad Sts., Brgy. 40, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
THE GENERICS PHARMACY,"106 Olivar Bldg., Quintin Salas St., Jaro, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
"Rose Pharmacy, Incorporated","Godo Bldg., Corner S. Aguilar St., / F. Palmares St., Barangay Poblacion Ilawod, Passi City, Iloilo"
GCARE II DRUGSTORE,"Cubay, Jaro, Iloilo City, Iloilo"
GENERIKA DRUGSTORE,"Lot 17B, Donato Pison (across SNR), Barangay San Rafael, Mandurriao, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Poblacion, Banate, Iloilo, Western Visayas (Region VI), 5010, Banate, Iloilo"
THE GENERICS PHARMACY,"Zamarli Bldg., Muyco St.,, Dingle, Iloilo, Western Visayas (Region VI), 5035, Dingle, Iloilo"
Caremeds Pharmacy,"Barangay Poblacion, Ajuy, Iloilo"
ValueMed Generics Pharmacy,"Cuison Bldg. Cor. Gatuslao-San Sebastian, Brgy. 15, Bacolod City, Negros Occidental"
KAROL'S PHARMACY,"Stall 24, Kalibo Shopping Center, Poblacion, Kalibo, Aklan"
ROSE PHARMACY,"N2 Prince Hypermart, Brgy. Libot, Calinog, Iloilo"
ASRV PHARMACY,"POBLACION ALTAVAS, Kalibo, Aklan"
Mercury Drug,"Marañon Street, Barangay Poblacion II, Sagay City, Negros Occidental"
BOTIKAMAMZ,"ISIO PUBLIC MARKET, BARANGAY ISIO, Cauayan, Negros Occidental"
G &amp; G PHARMACY,"Barangay Switch, Tapaz, Capiz, Western Visayas (Region VI), 5814, Tapaz, Capiz"
DOS PHARMA DISTRIBUTOR,"C. Castor Street Barangay Poblacion Market, Sara, Iloilo"
EST 1959 PHARMACY,"166 GALO-GASATAYA STREETS, BRGY. 20, BACOLOD CTY, Bacolod City, Negros Occidental"
MALEZA'S DRUGSTORE,"Fulton St., Isio,, Cauayan, Negros Occidental, Negros Island Region, 6112, Cauayan, Negros Occidental"
John Benison Pharmacy,"Malunda St. Poblacion Takas, Cuartero, Capiz"
Floretes Drug Haus,"Magallanes Street, Binalbagan, Negros Occidental"
Antonino Drugstore - Malinao (main),"Poblacion, Malinao, Aklan"
JRN MEDICAL INCORPORATED,"BAGO CITY PUBLIC MARKET ARANETA STREET 4TH DISTRICT POBLACION,, Bago City, Negros Occidental"
Tuner's 3 Drugstore,"Brgy. West Habog-Habog, Molo, Iloilo City, Iloilo"
VIRGINIA'S PHARMACY,"Blk. #7 NPM, Rizal St., Brgy. Zone II, Murcia, Negros Occidental"
MERCURY DRUG,"Roxas Avenue corner L. Barrios Street, Poblacion, Kalibo, Aklan, Western Visayas (Region VI), 5600, Kalibo, Aklan"
MERCURY DRUG,"Gen. Luna St., Brgy. Sampaguita, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
MERCURY DRUG,"G/F West Arcade, Robinson's Place Bacolod, Lacson St., Barangay Mandalagan, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
MERCURY DRUG,"MST Building, Rizal St., Barangay IV Poblacion, Hinigaran, Negros Occidental, Negros Island Region, 6106, Hinigaran, Negros Occidental"
NEGROS GRACE PHARMACY,"888 China Town Square, corner Gatuslao St., Cottage Road, Bacolod, Negros Occidental"
LORICEL PHARMACY,"GMT Delgado St., Brgy. Zone II, (Pob.), Santa Barbara, Iloilo, Western Visayas (Region VI), 5002, Santa Barbara, Iloilo"
AN'C DRUGSTORE,"#40 & #41 Kalibo Shopping Center, Kalibo, Aklan"
Gelo Pharmacy,"Nav's Commercial building F. Gorriceta Avenue, Brgy. Balabag, Pavia, Iloilo, Pavia, Iloilo"
Ronica Drugstore,"Caticlan, Malay, Aklan"
THE GENERICS PHARMACY,"Brgy. Poblacion Tabuc, Maayon, Capiz"
Soliva Drugstore,"Roxas St., San Miguel, Iloilo"
CCRJ PHARMACY,"Barangay Poblacion, Ajuy, Iloilo"
Ruthcelmar Drugstore,"Brgy. Gloria, Ledesma St.,, Iloilo City, Iloilo"
Molina's Drugstore,"T.A FORNIER ST. , San Jose de Buenavista , Antique"
"MerryMart Grocery Centers, Inc.","Phase 5 Alta Tierra Village, Mc Arthur Highway, Barangay Quintin Salas, Jaro, Iloilo City, Iloilo"
E. Dumaguit Pharmacy,"Public Market, Brgy. Capuling, DueÃ±as, Iloilo, DueÃ±as, ILOILO"
CCRJ PHARMACY,"Sitio Tollhouse, Barangay San Lucas, Barotac Viejo, Iloilo, Western Visayas (Region VI), 5011, Barotac Viejo, Iloilo"
Mercury Drug,"Unit 1C, 1D and 1E Ground Floor, A&B Building, Osmeña Street, Barangay Poblacion Centro, Calinog, Iloilo, Calinog, Iloilo"
JDN PHARMACY AND MEDICAL SUPPLIES,"Barangay Estefania, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
SINCERE DRUGSTORE,"SILAY PUBLIC MARKET, BURGOS ST., Silay, Negros Occidental, Negros Island Region, 6116, Silay, Negros Occidental"
Limen Pharmacy II,"New Poblacion, Buenavista, Buenavista, Guimaras"
MERCURY DRUG,"Corner Araneta-Luzuriaga Streets, Barangay 13, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
CD DRUGSTORE,"Brgy. Guisijan, Laua-An, Antique"
PRECISION MED PHARMACY,"Ground floor Unit B PL Lhuiller Building, San Sebastian Street, Barangay 13, Bacolod City, Negros Occidental"
ROSE PHARMACY,"J.M. Basa - Guanco Street, Barangay Nonoy, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
BLANCAFLOR DRUGSTORE,"Purok Rosas, Brgy. Su-ay, Himamaylan, Negros Occidental, Negros Island Region, 6108, Himamaylan, Negros Occidental"
"FAMILYHEALTH &amp; BAUTY CORP.,","Cor. Circumferencial Road and Burgos St., Brgy. Villamonte, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
DCS PHARMACY,"Purok Mangga, Brgy. Tabugon, Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental"
NEGROS GRACE PHARMACY,"Vertland Bldg., San Juan St., Brgy. 10, Bacolod, Negros Occidental"
ANNCHE-MAR PHARMACY,"Brgy. Jibolo, Janiuay, Iloilo"
FARMACIA ALENJEN,"33 Phase IV D' Mall D ' Boracay,  Balabag , Malay, Aklan"
Sonji Pharmacy,"Stall #38 Ground Floor, Brgy. Ilaud Poblacion, Barotac Nuevo, Iloilo"
SOUTH STAR DRUG,"Robinson's Supermarket, Molo GT Mall, M. H. Del Pilar St. Molo, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
MD PHARMACY,"Tres Fuentes-Rizal Street, Brgy. Rizal, Silay, Negros Occidental"
MYRN'S PHARMACY,"San Miguel, Jordan, Guimaras"
HORMEL PHARMACY,"Melliza St., Brgy. Poblacion, Ilaud, Zarraga, Iloilo, Western Visayas (Region VI), 5004, Zarraga, Iloilo"
PINK PHARMACY,"POBLACION, Barbaza, Antique"
R &amp; E Pharmacy,"Salvani Street, Poblacion, Patnongon, Antique"
LESUS PHARMACY,"Brgy. Poblacion, Sapi-An, Capiz"
GENERIKA DRUGSTORE,"Lot 571-C Purok Masagana, Araneta St., Barangay Sum-ag, Bacolod City, Negros Occidental"
ST. BARAQUIEL PHARMACY,"Magsaysay St., Badiangan, Iloilo"
THE GENERICS PHARMACY,"Barangay Gerona-Gemino, Guimbal, Iloilo, Western Visayas (Region VI), 5022, Guimbal, Iloilo"
Ledesma Pharma and Medical Supplies Trading,"Brgy. Tagbac, Jaro, Iloilo City, Iloilo"
MERCURY DRUG,"N &amp; E Tan Bldg., Roxas Avenue, Barangay IX, Roxas, Capiz"
MERCURY DRUG,"Isagani St., Barangay Poblacion Ilawod, Pontevedra, Capiz, Western Visayas (Region VI), 5802, Pontevedra, Capiz"
PHARMACIA BAGO MEDICA,"2nd Street, Bago Public Market, Bago City, Negros Occidental"
Abenes Pharmacy,"Rizal Street Barangay Poblacion, San Enrique, Negros Occidental"
L'CACHRIS PHARMACY,"345 HUERVANA ST., Lapaz, Iloilo"
JOSMEF PHARMA INC.,"Javellana - E. Lopez St., Jaro, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"R. Tabiana St., Brgy. Poblacion, Leon, Iloilo, Western Visayas (Region VI), 5026, Leon, Iloilo"
THE GENERICS PHARMACY,"Public Market, Poblacion, Pres. Roxas, Capiz"
MZ Care Pharmacy,"Blumentrit Street, Poblacion Ilaya, Dumarao, Capiz"
JMD Pharmacy,"Guisijan, Laua-an, Antique, Laua-An, Antique"
Meriam Drugstore,"Zone 2. Don Esteban, Lapuz, Iloilo, ILOILO"
GENERIKA DRUGSTORE,"Lot 2477-D-1 Onate St., Brgy. Onate De Leon, Mandurriao, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
BORRES PHARMACY,"Barangay Pob. Tabuc, Ma-ayon, Capiz"
The Generics Pharmacy,"Railway St., Passi City Iloilo, Passi City, Iloilo"
The Generics Pharmacy,"Nuñez Street,Poblacion Tabuc, Mambusao, Capiz"
Merry Pharmacy,"Villareal Highway, Poblacion Proper, Mambusao Capiz, Mambusao, Capiz"
Ved Pharmacy,"Barangay Poblacion, Carles, Iloilo"
Ira Tan Medical Health Services,"GGJ Building , Quezon Street, Barangay Quezon, Arevalo, Iloilo City, Iloilo City, Iloilo"
Medcenter Pharmacy,"Ach. Anacleto H. Villavert Building,T.A. Fornier St.,Barangay 7, San Jose de Buenavista, Antique"
M&amp;E Drugmart,"Barangay Bailan, Pontevedra, Capiz"
RONALIZA PHARMACY,"Legaspi St., Brgy. Baybay Norte (Pob.), Miagao, Iloilo, Western Visayas (Region VI), 5023, Miagao, Iloilo"
JORDMED PHARMA,"TAN LORENZO ST. BRGY.1, Kabankalan, Negros Occidental"
A and M DRUGSTORE,"RIZAL ST.,MINA WEST, MINA,ILOILO, Mina, Iloilo"
BUD PHARMACY,"BALDEVIA BLDG, RIZAL HIGHWAY, BRGY 1,, Silay City, Negros Occidental"
MERCURY DRUG,"Gurrea St., La Carlota, Negros Occidental, Negros Island Region, 6130, La Carlota, Negros Occidental"
MERCURY DRUG,"Aguillon Business Center, National Road, San Jose de Buenavista, Antique"
MERCURY DRUG,"Gov. Villavert St., Barangay 8, San Jose de Buenavista, San Jose, Antique"
ROSE PHARMACY,"RTU Towncenter cor. Q. Salas/Tacas, Jaro, Iloilo City, Iloilo"
MERCURY DRUG,"Emigdio Nietes Ave., Brgy. Funda Dalipe, San Jose, Antique, Western Visayas (Region VI), 5700, San Jose, Antique"
MERCURY DRUG,"T.A. Fornier St., Barangay 2, San Jose de Buenavista, Antique"
BOTIKA GENECA,"G/F Dhosthi Building, M.H. Del Pilar Street, Brgy. Taal, Molo, Iloilo City, Iloilo"
GOODSTART FAMILY PHARMACY,"B1 L11 CELINE HOMES SUBD., BRGY. ESTEFANIA, Bacolod City, Negros Occidental"
Antonino Drugstore - Lezo (branch),"Poblacion Lezo Aklan, Lezo, Aklan"
CONFLUENCE HEALTH AND WELLNESS PRODUCTS,"No. 111, Lacson St., Brgy. 19, Bacolod, Negros Occidental, Western Visayas (Region VI), 6100, Bacolod, Negros Occidental"
ANGEFEL PHARMACY,"Purok 5, San Joaquin, Iloilo"
ALFARO PHARMACY,"Brgy. ZONE III, BERMEJO ST., Cabatuan, Iloilo"
ROSE PHARMACY,"Roosevelt St., Brgy. Zone III Poblacion, Santa Barbara, Iloilo, Western Visayas (Region VI), 5002, Santa Barbara, Iloilo"
3 D'S PHARMACY,"#30 CORNER ATOL & FREEDOM ST., BRGY. POBLACION SE ZONE, Lemery, Iloilo"
THE GENERICS PHARMACY,"National Highway, Poblacion, Ibajay, Aklan"
Farmacia Paterna,"Montinola St., Brgy. 3 (POB.) , Victorias, Negros Occidental"
BIBOY PHARMACY,"TAFT ST., DUMALAG, Capiz"
CPT PHARMACY,"IZNART ST. BRGY. MAGSAYSAY, ILOILO CITY, Iloilo City, Iloilo"
OUR Community Pharmacy,"Bonifacio St., Ma-ao Public Market, Brgy. Ma-aoo, Bago City, Negros Occidental"
THE GENERICS PHARMACY,"92 Plaza Rizal St. Jaro, Iloilo City, ILOILO"
KTS PHARMACY,"CALIXTO COR. ZALDIVAR ST., BRGY. 5, SAN JOSE DE BUENAVISTA, Antique"
Malay Drugstore,"National Toad, Brgy. Caticlan, Malay, Aklan"
GUIMHEALTH PHARMACEUTICAL DISTRIBUTOR AND DRUGSTORE,"GGGG Property Rental, Capitol View, San Miguel, Jordan, Guimaras"
NORL'S PHARMACY,"Poblacion Ilaya, Dumarao, Capiz"
WESTMED PHARMACY,"Zone 3, Brgy. Aganan, Pavia, Iloilo"
FAITH PHARMACY,"C17 TG Investment Company Inc. Bldg. Hilaso St., Brgy. 20, Bacolod, Negros Occidental"
Bedaure Pharmacy,"Brgy. Tabao Proper, Valladolid, Negros Occidental"
ANVIL ILOILO DIAGNOSTIC AND MEDICAL CENTER INC,"Barangay Tanza, Bonifacio, Iloilo City, Iloilo"
DEEP SEA PHARMACY,"Tejero Street, Brgy. 9 Pob., Tigbauan, Iloilo, Western Visayas (Region VI), 5021, Tigbauan, Iloilo"
TRIPLE K DRUGSTORE,"BRGY 1 POBLACION, Enrique B. Magalona, Negros Occidental"
