Name of Facility,Province,City/Municipality,Address
BARBAZA DIAGNOSTIC LABORATORY,Antique,Barbaza,Cubay
BIOFERA MEDICAL DIAGNOSTIC CLINIC,Antique,Patnongon,Poblacion
BIOFERA MEDICAL DIAGNOSTIC CLINIC,Antique,Dao,Poblacion Sur
CLINICA MOLINA SPECIALTY CLINIC AND DIAGNOSTIC CENTER,Antique,San Jose de Buenavista,Atabay
HEALTH AND ALLIED SERVICES DIAGNOSTIC CENTER & CLINICAL LABORATORY,Antique,San Jose de Buenavista,Atabay
LABCARE DIAGNOSTIC LABORATORY,Antique,Bugasong,Ilaures
MEDICHEALTH DIAGNOSTIC LABORATORY,Antique,Bugasong,Ilaya
MEDICUS DIAGNOSTIC CENTER AND MEDICAL CLINICS,Antique,San Jose de Buenavista,Atabay
MEDICLAB DIAGNOSTIC,Antique,Sibalom,District II
MEDICPRO DIAGNOSTIC CENTER,Antique,San Jose de Buenavista,Brgy. 7
BIOFERA MEDICAL DIAGNOSTIC CLINIC,Capiz,Dao,Balucuan
BIOFERA MEDICAL DIAGNOSTIC CLINIC,Capiz,Roxas City,Lawaan
BIO1ST MEDICAL CLINIC AND LABORATORY,Capiz,Dumalag,Poblacion
"CUARTERO MEDICAL AND DIAGNOSTIC CENTER, INC.",Capiz,Cuartero,Poblacion Ilaya
LHN MEDICAL CORP.,Capiz,Mambusao,Poblacion Tabuc
M.D DOCTORS CLINICAL LABORATORY,Capiz,Tapaz,Poblacion
MEDICAL MISSION GROUP HOSP. & HEALTH SERVICES COOPERATIVE OF ROXAS CITY AND CAPIZ,Capiz,Roxas City,Brgy. VI
MEDICUS DIAGNOSTIC CENTER AND MEDICAL CLINICS,Capiz,Roxas City,Brgy. VI
MEDICUS DIAGNOSTIC CENTER- SIGMA,Capiz,Sigma,Poblacion Sur
MEDICUS DIAGNOSTIC CENTER,Capiz,Dumarao,Poblacion Ilaya
MLCT LABORATORY AND CLINICS,Capiz,Roxas City,Brgy. VIII
PERPETUAL HELP CLINICAL LABORATORY,Capiz,Pontevedra,Brgy. Tacas
PILAR DIAGNOSTIC CENTER LABORATORY,Capiz,Pilar,Poblacion
SAN JOSE OBRERO CLINICS AND LABORATORY,Capiz,President Roxas,Poblacion
ST. ALBERTUS MAGNUS MEDICAL CLINIC AND LABORATORY,Capiz,Panitan,Poblacion Ilawod
ST. LOUISE DE MARILLAC,Capiz,Roxas City,Brgy. Tanque
STARLAB DIAGNOSTIC CENTER,Capiz,Tapaz,Poblacion Ilaya
TA-AY MEDICAL LABORATORY,Capiz,President Roxas,Poblacion
4G DIAGNOSTIC LABORATORY,Capiz,Maayon,Poblacion Tabuc
"BUENA CLINIC, PHARMACY AND LABORATORY",Guimaras,Buenavista,NewPoblacion
CENTRI CLINICALLABORATORY,Guimaras,Jordan,San Miguel
CENTRI CLINICALLABORATORY,Guimaras,Nueva Valencia,Poblacion
CENTRIHEALTH LABORATORY,Guimaras,Buenavista,NewPoblacion
JMB LABORATORY & DIAGNOSTIC CENTER,Guimaras,Jordan,San Miguel
JMB LABORATORY & DIAGNOSTIC CENTER,Guimaras,Nueva Valencia,Concordia Sur
JMB LABORATORY & DIAGNOSTIC CENTER,Guimaras,San Lorenzo,Cabano
HEALTH DIAGNOSTIC LABORATORY CO.,Guimaras,Buenavista,NewPoblacion
ISLAND HEALTH DIAGNOSTIC CENTER,Guimaras,Jordan,NewPoblacion
VILLAREAL MEDICAL CLINIC,Guimaras,Buenavista,NewPoblacion
ANDREW AND ALEX CLINICAL DIAGNOSTIC CENTER,Iloilo,Zarraga,Jalaaud Norte
BEREZO MEDICAL CLINIC AND DIAGNOSTIC CENTER,Iloilo,Barotac Nuevo,Ilaud Poblacion
BIOFERA MEDICAL DIAGNOSTIC CLINIC,Iloilo,New Lucena,Poblacion
BIOFERA MEDICAL DIAGNOSTIC CLINIC,Iloilo,San Joaquin,Lawigan
BIOSURE DIAGOSTICCENTER INC.,Iloilo,Alimodian,Poblacion
CAMIÑA MEDICAL LABORATORY,Iloilo,Leon,Poblacion
CASTIGADOR MEDICAL CLINIC AND LABORATORY,Iloilo,Calinog,Poblacion Rizal Ilawod
CEMP DIAGNOSTIC LABORATORY,Iloilo,Maasin,THTF Poblacion
CLINIQU MEDICAL AND DIAGNOSTIC CENTER,Iloilo,Barotac Nuevo,Poblacion Ilaud
CONFLUENCE MEDICALLABORATORY AND DIAGNOSTIC CENTER,Iloilo,City of Passi,Poblacion Ilawod
DATOON MEDICAL AND DENTAL CLINICS AND DIAGNOSTIC ABORATORY,Iloilo,Dumangas,Basa Mabini-Bonifacio
DIERON MEDICAL CLINIC AND LABORATORY,Iloilo,Tigbauan,Brgy. 6
DOCTECH CLINICAL DIAGNOSTIC CENTER,Iloilo,Sara,Anoring
DR. ESTER FE L. AGUILLON-DABUCCO HEALTH SERVICES,Iloilo,Dingle,Poblacion
E.L.S.A DIAGNOSTIC LABORATORY,Iloilo,Estancia,Poblacion Zone II
EXELCARE DIAGNOSTIC LABORATORY,Iloilo,Alimodian,Poblacion
FIRSTLAB CLINICAL LABORATORY,Iloilo,Pavia,Jibao-an
FRONTHUB MEDILAB AAND CLINICS,Iloilo,City of Passi,Poblacion Olawod
FARMACIA HINOSA LABORATORY MEDICAL SPECIALTY CLINIC,Iloilo,Oton,Poblacion South
GAVIETA MEDICAL AND LABORATORY CLINIC,Iloilo,Tigbauan,Rizal-Tuguisan
GILO MEDICAL CLINIC AND LABORATORY,Iloilo,Guimbal,Brgy. Nanga
G.P DIAGNOSTIC CENTER,Iloilo,Leganes,Poblacion
HEALTH ESSENTIAL LABORATORY AND DIAGNOSTIC CENTER,Iloilo,Santa Barbara,Brgy. Zone I
HEALTHFORCE CLINICAL LABORATORY AND MEDICAL CLINICS COMPANY,Iloilo,Pavia,Pandac
"HEALTHLINK (ILOILO), INC",Iloilo,Ajuy,Poblacion
"HEALTHLINK (ILOILO), INC",Iloilo,Balasan,Poblacion Norte
"HEALTHLINK (ILOILO), INC",Iloilo,Barotac Nuevo,Poblacion Ilaud
"HEALTHLINK (ILOILO), INC",Iloilo,Cabatuan,Brgy. Zone V
"HEALTHLINK (ILOILO), INC",Iloilo,Calinog,Libot
"HEALTHLINK (ILOILO), INC",Iloilo,Guimbal,Rizal-Tuguisan
HEALTHUB MEDICAL AND DIAGNOSTIC CENTER,Iloilo,Zarraga,Poblacion Ilawod
HEALTHSENSE LABORATORY,Iloilo,Pavia,Purok III
ICTHUS CLINICAL LABORATORY,Iloilo,Batad,Poblacion
ICTHUS CLINICAL LABORATORY,Iloilo,Carles,Poblacion
ICTHUS CLINICAL LABORATORY,Iloilo,Estancia,Poblacion Zone II
JANIUAY DIAGNOSTIC CENTER,Iloilo,Janiuay,R. Armada
JEE MEDICAL LABORATORY,Iloilo,Igbaras,Brgy. 3 Poblacion
JELAN MEDICAL LABORATORY,Iloilo,San Miguel,Brgy. 8
JMI ESSENTIAL LABORATORY,Iloilo,San Joaquin,Purok 4
"KALINONG DIAGNOSTIC CENTER, INC.",Iloilo,Calinog,Simsiman
LHEALTH MEDICAL AND DIAGNOSTIC CENTER,Iloilo,Anilao,Poblacion
MEDICUS DIAGNOSTIC CENTER,Iloilo,Balasan,Poblacion Norte
MEDICUS PHILIPPINES INC.,Iloilo,Banate,Merced
MEDICUS DIAGNOSTIC CENTER,Iloilo,Dumangas,Basa Mabini-Bonifacio
MEDICUS DIAGNOSTIC CENTER,Iloilo,Janiuay,Don T. Lutero
MEDICUS DIAGNOSTIC CENTER,Iloilo,Miagao,Baybay Norte
MEDICUS DIAGNOSTIC CENTER,Iloilo,Oton,Poblacion South
MEDICUS DIAGNOSTIC CENTER,Iloilo,City of Passi,Poblacion Ilawod
MEDICUS DIAGNOSTIC CENTER,Iloilo,Sara,Poblacion Market
MEDICUS DIAGNOSTIC CENTER,Iloilo,Santa Barbara,Brgy. Zone III
MIAG-AO HEALTH COOPERATIVE CLINICAL LABORATORY,Iloilo,Miagao,Baybay Norte
MEGACARE DIAGNOSTIC CENTER CO.,Iloilo,Pavia,Balabag
NORTHMED LABORATORYAND MEDICAL CLINIC,Iloilo,San Rafael,Poblacion
POTOTAN MEDILAB,Iloilo,Pototan,Rumbang
POTOTAN MEDILAB-EXTENSION,Iloilo,Pototan,Lopez-Jaena
PRIMEVIEW MEDICAL SPECIALIST AND IMAGING CENTER,Iloilo,City of Passi,Poblacion Ilawod
QUIKLAB DIAGNOSTIC INC.,Iloilo,Oton,Poblacion South
RAD LAB CLINICAL DIAGNOSTIC CENTER,Iloilo,Dueñas,Capuling
REAL MEDICAL LABORATORY AND DIAGNOSTIC CENTER,Iloilo,Barotac Nuevo,Tabucan
REAL MEDICAL LABORATORY AND DIAGNOSTIC CENTER,Iloilo,Miagao,Baybay Sur
RGT MEDICAL DIAGNOSTIC CLINIC,Iloilo,Janiuay,Aquino Nobleza East
RIGHT LAB MEDICAL CLINIC & LABORATORY,Iloilo,Leganes,Poblacion
RURAL HEALTHPLUS MEDICAL LABORATORY,Iloilo,Alimodian,Bancal
SAN MIGUEL DIAGNOSTICS INC.,Iloilo,San Miguel,Brgy. I.
SMG DIAGNOSTIC CENTER,Iloilo,Dumangas,Basa Mabini-Bonifacio
SPEEDCHECK DIAGNOSTIC CENTER,Iloilo,City of Passi,Poblacion Ilawod
STA. CATALINA DIAGNOSTIC LABORATORY,Iloilo,Leon,Poblacion
STATLAB INC.,Iloilo,Pavia,Ungka II
STATLAB INC.,Iloilo,Pototan,Rumbang
STCAMILLUS MEDICAL DIAGNOSTIC SERVICES,Iloilo,Santa Barbara,Brgy. Zone I
ST. IGNATIUS CLINICAL LABORATORY,Iloilo,Oton,Poblacion South
ST. VINCENT DE PAUL DIAGNOSTIC CENTER AND MEDICAL CLINICS,Iloilo,Pavia,Aganan
SUZETTE MARIE HILADO-BANNO MEDICAL CLINIC AND LABORATORY,Iloilo,Tigbauan,Brgy. 6
TABORNAL DIAGNOSTIC LABORATORY,Iloilo,Oton,Poblacion West
TERESITA G. CASTIGADOR MEDICALCLINIC AND LABORATORY,Iloilo,Lambunao,Poblacion Ilaud
TREZ MARIAS MEDICAL CLINIC AND LABORATORY,Iloilo,Tubungan,Zone II Poblacion
"TRIAGE POLYCLINIC CENTER AND DIAGNOSTIC SERVICES, INC.",Iloilo,Banate,Zona Sur
"TRIAGE POLYCLINIC CENTER AND DIAGNOSTIC SERVICES, INC.",Iloilo,Barotac Viejo,Poblacion
TRUSTLAB DIAGNOSTIC CENTER,Iloilo,Tigbauan,Brgy. 6
VILLAREAL MEDICAL CLINIC,Iloilo,Janiuay,Jibolo
VILLAREAL MEDICAL CLINIC,Iloilo,Pototan,Rumbang
VITAL CARE MEDICAL AND LABORATORY SERVICES,Iloilo,San Miguel,San Jose
YOU FIRST MEDICAL AND DIAGNOSTIC CENTER INC.,Iloilo,Lambunao,Tranghawan
ZHINN DIAGNOSTIC CENTER,Iloilo,Sara,Poblacion Market
AQUE HEART MEDICAL DIAGNOSTIC CENTER,Iloilo,Iloilo City,Javellana
"ASCLEPIUS DRUGSTORE MEDICAL LAB & ALLIED SERVICES, CORP.",Iloilo,Iloilo City,Villa Anita
BIOFERA MEDICAL DIAGNOSTIC CLINIC,Iloilo,Iloilo City,Mohon
CLINICA DE ILOILO,Iloilo,Iloilo City,Roxas Village
CONFLUENCE MEDICAL LABORATORY AND DIAGNOSTIC CENTER,Iloilo,Iloilo City,Roxas Village
CPU CLINICAL LABORATORY,Iloilo,Iloilo City,Lopez-Jaena
DEMIC LAB CORPORATION,Iloilo,Iloilo City,San Rafael
FAMILY DIAGNOSTIC CENTER,Iloilo,Iloilo City,Edganzon
"FAMILY PLANNING ORGANIZATION OF THE PHILIPPINES COMMUNITY HEALTH CARE, BIRTHING CENTER AND LABORATORY INC.",Iloilo,Iloilo City,Maria Clara
GAN CLINICAL LABORATORY,Iloilo,Iloilo City,Arsenal Aduana
GCG DIAGNOSTIC CENTER,Iloilo,Iloilo City,Rizal Pala-pala II
HEALTHNESS MEDICAL CLINIC AND LABORATORY CO.,Iloilo,Iloilo City,"Quezon, Arevalo"
HEALTHNESS HUB MEDICAL CLINIC AND LABORATORY CORPORATION,Iloilo,Iloilo City,Calumpang
HEALTHSCREEN CLINICAL LABORATORY,Iloilo,Iloilo City,"Bantud, Lapaz"
HEALTH CHECKDIAGNOSTIC LABORATOTY,Iloilo,Iloilo City,"Mcarthur, Lapaz"
HEALTHFORCE MEDICAL SPECIALIST AND DIAGNOSTIC CO.,Iloilo,Iloilo City,Desamparados
"HEALTHLINK (ILOILO), INC",Iloilo,Iloilo City,Tagbak
"HEALTHLINK (ILOILO), INC",Iloilo,Iloilo City,San Agustin
ILOILO DOCTORS' CLINIC & LABORATORY SERVICES,Iloilo,Iloilo City,Roxas Village
ILOILO DOCTORS' CLINIC & LABORATORY SERVICES,Iloilo,Iloilo City,San Rafael
ILOILO DOCTORS COLLEGE CLINICAL LABORATORY,Iloilo,Iloilo City,Taal
"JOHN B. LACSON FOUNDATION, INC. DIAGNOSTIC CENTER",Iloilo,Iloilo City,Taal
MD PALMES ULTRASOUND AND DIAGNOSTIC CENTER,Iloilo,Iloilo City,San Nicholas
MEDICUS DIAGNOSTIC CENTER AND MEDICAL CLINICS,Iloilo,Iloilo City,"Libertad, Santa Isabel,"
MEDICUS DIAGNOSTIC CENTER- MAIN,Iloilo,Iloilo City,Brgy. Danao
MEDICUS DIAGNOSTIC CENTER- MAIN,Iloilo,Iloilo City,Cubay
MEDICUS DIAGNOSTIC CENTER AND MEDICAL CLINICS,Iloilo,Iloilo City,Abeto Arsenal Taft South
MEDICUS DIAGNOSTIC CENTER AND MEDICAL CLINICS,Iloilo,Iloilo City,"Brgy. Poblacion, Molo"
MEDICUS DIAGNOSTIC CENTER AND MEDICAL CLINICS,Iloilo,Iloilo City,Brgy. Ortiz
MIDWEST LAB,Iloilo,Iloilo City,Our Lady of Lourdes
ML DIAGNOSTIC CENTER,Iloilo,Iloilo City,"Quezon, Arevalo"
PLAZA LIBERTAD MEDICAL SPECIALIST CENTER,Iloilo,Iloilo City,Zamora- Melliza
PRIMEVIEW MEDICAL SPECIALIST AND IMAGING CENTER,Iloilo,Iloilo City,Abeto Mirasol
SINGAPORE MEDICAL LABORATORIES INC.,Iloilo,Iloilo City,San Rafael
SINGAPORE DIAGNOSTICS,Iloilo,Iloilo City,Danao
ST. PEREGRIN CENTER FOR HEALTH,Iloilo,Iloilo City,Balantang
"ULTRACARE DIAGNOSTIC CENTER, INC.",Iloilo,Iloilo City,Our Lady of Fatima
UNIVERSITY OF SAN AGUSTIN CLINICAL LABORATORY,Iloilo,Iloilo City,Brgy. San Agustin
VILLAREAL MEDICAL CLINIC,Iloilo,Iloilo City,Arsenal Aduana
ZSO DIAGNOSTIC INC.,Iloilo,Iloilo City,San Vicente
ACM DIAGNOSTIC LABORATORY AND MEDICAL CLINIC,Negros Occidental,Bago City,Poblacion
BAS DIAGNOSTIC LABORATORY,Negros Occidental,Binalbagan,Progreso
BINALBAGAN MEDICAL LABORATORY,Negros Occidental,Binalbagan,San Pedro
BIO CELLIAN CLINICAL LABORATORY,Negros Occidental,Manapla,Brgy. I-A
BLOOD CHECK CLINICAL LABORATORY AND SERVICES,Negros Occidental,Escalante City,Balintawak
BLOOD CHECK CLINICAL LABORATORY AND SERVICES,Negros Occidental,Sagay City,Poblacion II
CADIZ CLINICAL LABORATORY,Negros Occidental,Cadiz City,Brgy. 3
CAUAYAN LABORATORY AND DIAGNOSTIC CENTER,Negros Occidental,Cauayan,Poblacion
CHONA B. ABKILAN MEDICAL CLINIC AND LABORATORY,Negros Occidental,Hinigaran,Gargato
EMVE LABORATORY & DIAGNOSTIC SERVICES,Negros Occidental,Enrique B. Magalona,Poblacion I
FAIRR DIAGNOSTIC CENTER,Negros Occidental,City of Silay,Brgy. V
GAHATON DIAGNOSTIC LABORATORY,Negros Occidental,Bago City,Ma-ao
GAUDITE MEDICAL LABORATORY,Negros Occidental,Kabankalan City,Brgy. I
JAISARUS ACCUFAST MEDICAL LABORATORY,Negros Occidental,Sagay City,Poblacion II
JDT BLESS3D DIAGNOSTIC LABORATORY,Negros Occidental,City of Silay,Brgy. I
JGN CLINIC AND LABORATORY,Negros Occidental,Hinigaran,Brgy. III
JGN DIAGNOSTIC LABORATORY,Negros Occidental,Kabankalan City,Brgy. 5
JGN CLINICAL LABORATORY,Negros Occidental,Valladolid,Tabao
JGN MEDICAL CLINIC AND LABORATORY,Negros Occidental,,Brgy. XXI
JEAMAC DIAGNOSTIC CENTER,Negros Occidental,Kabankalan City,Binicuil
JEAMAC DIAGNOSTIC CENTER,Negros Occidental,,Brgy. 2
JPN MEDICAL LABORATORY AND SERVICES,Negros Occidental,Bago City,Ma-ao
JUAN-JDIAGNOSTIC CENTER,Negros Occidental,,Brgy. 3
KABANKALAN MEDICAL LABORATORY,Negros Occidental,Kabankalan City,Brgy. 6
LABTOLOGY CLINICAL LABORATORY,Negros Occidental,Kabankalan City,Brgy. 2
MCS DIAAGNOSTIC CENTER,Negros Occidental,San Carlos City,Brgy. II
M C S 6 DIAGNOSTIC CENTER,Negros Occidental,Cauayan,Poblacion
MED-CHECK CLINICAL LABORATORY,Negros Occidental,La Carlota City,Brgy. III
MRG CLINICAL LABORATORY,Negros Occidental,,Brgy. III
MYLAN MEDICAL LABORATORY,Negros Occidental,City of Himamaylan,Brgy. IV
NCD CLINICAL LABORATORY,Negros Occidental,,Brgy. XVI
NEUTRON DIAGNOSTIC LABORATORY,Negros Occidental,Sagay City,Poblacion I
NEW BLOOD CHANNEL CLINICAL LABORATORY AND SERVICES,Negros Occidental,Kabankalan City,Brgy. I
PAS MEDICAL DIAGNOSTIC LABORATORY,Negros Occidental,Himamaylan City,Brgy. IV
PLEBEIAN DIAGNOSTIC CENTER,Negros Occidental,La Castellana,Brgy. Robles
PROMED DIAGNOSTIC CENTER,Negros Occidental,Cadiz City,Brgy. 4
QUALITY POINT MEDICAL LABORATORY,Negros Occidental,La Carlota City,Brgy. I
QPL DIAGNOSTICS AND CLINIC,Negros Occidental,,Brgy. IV
QUBE DIAGNOSTIC LABORATORY,Negros Occidental,San Carlos City,Brgy. 2
REED WING MEDICAL CLINIC AND LABORATORY,Negros Occidental,,Brgy. 3
RELIATEST MEDICAL LABORATORY,Negros Occidental,Cauayan,Poblacion
SHILOH CLINICAL LABORATORY,Negros Occidental,Kabankalan City,Brgy. 3
SHILOH CLINICAL LABORATORY,Negros Occidental,,Bacuyangan
SILAY DIAGNOSTIC CENTER,Negros Occidental,City of Silay,Brgy. 1
SOUTH HEALTH CLINICAL LABORATORY,Negros Occidental,Kabankalan City,Brgy. 3
SPEERS DIAGNOSTIC LABORATORY,Negros Occidental,Cadiz City,Brgy. 3
SAINT JUDE MEDICAL & CLINICAL LABORATORY,Negros Occidental,Victorias City,Brgy. II
STATLAB DIAGNOSTIC LABORATORY,Negros Occidental,Talisay City,Zone 6
TALISAY WELLNESS AND DIAGNOSTIC CENTER,Negros Occidental,Talisay City,Zone 6
THE NEW BLOOD CHANNEL CLINICAL LABORATORY AND SERVICES,Negros Occidental,Talisay City,Zone 4-A
UNIPOINT CLINICAL LABORATORY,Negros Occidental,Cadiz City,Brgy. 3
VILLANUEVA CLINICAL LABORATORY,Negros Occidental,Bago City,Poblacion
VILLANUEVA CLINICAL LABORATORY,Negros Occidental,Kabankalan City,Brgy. I
VILLANUEVA CLINICAL LABORATORY,Negros Occidental,La Carlota City,Brgy. III
VITALIS DIAGNOSTIC CLINIC,Negros Occidental,Sagay City,Paraiso
ACCU-CHECK CLINICALLABORATORY,Negros Occidental,Bacolod City,Brgy. 5
ACCUMAINE CLINICAL LABORATORY,Negros Occidental,Bacolod City,Mansilingan
ALRIJG MEDICAL CLINIC AND LABORATORY,Negros Occidental,Bacolod City,Brgy. 17
AVENTUS MEDICAL CARE INC.,Negros Occidental,Bacolod City,Brgy. 5
BACOLOD DIAGNOSTIC CENTER,Negros Occidental,Bacolod City,Brgy. 5
BAS DIAGNOSTIC LABORATORY,Negros Occidental,Bacolod City,Brgy.9
BIOPRO HEALTH AND LABORATORY SERVICES CORPORATION,Negros Occidental,Bacolod City,Granada
COLEGIO SAN AGUSTIN - BACOLOD CLINICAL LABORATORY,Negros Occidental,Bacolod City,Brgy. 5
GUMAHIN-FLORES DIAGNOSTIC CENTER,Negros Occidental,Bacolod City,Brgy. 36
HEALBERG LIFESTYLE MEDICAL CENTER AND CLINICS,Negros Occidental,Bacolod City,Singcang - Aiport
HEALTH HORIZON DIAGNOSTIC CENTER,Negros Occidental,Bacolod City,Brgy. Villamonte
"HOSPITAL AVENUE DIAGNOSTIC CENTER, INC.",Negros Occidental,Bacolod City,Brgy. 18
INNOVEIN MEDICAL LABORATORY,Negros Occidental,Bacolod City,Brgy. Alijis
J.C.L. DIAGNOSTIC LABORATORY,Negros Occidental,Bacolod City,Brgy. 20
JT HANDUMANAN DIAGNOSTIC CENTER,Negros Occidental,Bacolod City,Brgy. Handumanan
LCM MEDICAL LABORATORY,Negros Occidental,Bacolod City,Brgy. Sum-ag
MCS DIAGNOSTIC CENTER,Negros Occidental,Bacolod City,Brgy. Villamonte
MCS 3 DIAGNOSTIC CENTER,Negros Occidental,Bacolod City,Brgy. 9
MCS 4 DIAGNOSTIC CENTER,Negros Occidental,Bacolod City,Brgy. Taculing
"MEDICAL ASSOCIATES DIAGNOSTIC CENTER, INC.",Negros Occidental,Bacolod City,Brgy. 33
MEDI-LINK CLINICAL LABORATORY,Negros Occidental,Bacolod City,Brgy. Villamonte
MP ANALYSIS & LABORATORY,Negros Occidental,Bacolod City,Brgy. Villamonte
NEW NORM DIAGNOSTIC LABORATORY,Negros Occidental,Bacolod City,Brgy. Alijis
ORDOÑEZ CLINICAL LABORATORY,Negros Occidental,Bacolod City,Brgy. Villamonte
PENTAMED DIAGNOSTICS AND CLINICAL LABORATORY,Negros Occidental,Bacolod City,Brgy. 23
"Q DIAGNOSTIC CENTER, INC.",Negros Occidental,Bacolod City,Brgy. 2
RED SHIELD CLINICAL LABORATORY,Negros Occidental,Bacolod City,Brgy. 18
SERVIAMUS MEDICAL CLINIC AND LABORATORY,Negros Occidental,Bacolod City,Brgy. 33
SINGAPORE DIAGNOSTICS,Negros Occidental,Bacolod City,Brgy. Mandalagan
"ST. CAMILLUS PREMIUM HEALTHCARE SERVICES, INC.",Negros Occidental,Bacolod City,Brgy. Mandalagan
ST. EZEKIEL MORENO CLINICAL LABORATORY,Negros Occidental,Bacolod City,Brgy. Handumanan
TACLOBOS MEDICAL LABORATORY,Negros Occidental,Bacolod City,Brgy. 40
THERA PEIA MEDICAL LABORATORY & MEDICAL CLINIC COMPANY,Negros Occidental,Bacolod City,Brgy. Villamonte
THE NEW BLOOD CHANNEL CLINICAL LABORATORY AND SERVICES,Negros Occidental,Bacolod City,Brgy. 14
"THE RIVERSIDE MEDICAL CENTER, INC.",Negros Occidental,Bacolod City,Brgy. 12
UNO - RECOLETOS CLINICAL LABORATORY,Negros Occidental,Bacolod City,Brgy. 40
VILLANUEVA CLINICAL LABORATORY,Negros Occidental,Bacolod City,Brgy. 4
JMB LABORATORY AND DIAGNOSTIC CENTER,Guimaras,Nueva Valencia,Brgy. Concordia Sur
CLINICALAB MEDGROUP INC.,Iloilo,Concepcion,Brgy. Poblacion
"THE MEDICAL CITY ILOILO HOSPITAL, INC.",Iloilo,Iloilo City,Brgy. Taft North
CLINICAL LIFE MEDICAL AND LABORATORY SERVICES,Negros Occidental,Talisay City,Brgy. Zone 12
SULTAN'S HAVEN DIAGNOSTIC CENTER,Negros Occidental,Talisay City,Brgy. Zone 12-A
