name,health-resource,address,lat,long
CJS PHARMACY,pharmacy,"Commercial Zone, Brgy. Minapasuk, Calatrava, Negros Occidental",,
CLAIRON'S PHARMACY,pharmacy,"10th St., St. Vincent Subd., Brgy. I, San Carlos City, Negros Occidental",,
PANIZA PHARMACY,pharmacy,"SN 32 Brgy. Cabalabaguan, Mina Public Market, Mina, Iloilo",,
THE GENERICS PHARMACY,pharmacy,"Guanzon Corner Coloso St., Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental",,
FARMACIA NI DOK,pharmacy,"GROUND FLOOR SUNFLOWER RESORT, BRGY. BALABAG, BORACAY ISLAND, Malay, Aklan",,
PABULUM DRUGSTORE,pharmacy,"Yulod Drive, Brgy. Quezon, Arevalo, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo",,
FARMACIA TUPAS,pharmacy,"Barangay 1 Poblacion, Hinoba-An, Negros Occidental, Hinoba-An (ASIA, Negros Occidental",,
MCV DRUGSTORE,pharmacy,"PUROK PAGLAUM BARANGAY BATO, Sagay City, Negros Occidental",,
"MerryMart Grocery Centers, Inc.",pharmacy,"Cor. De Leon & Quezon Sts., Brgy. Kauswagan, Iloilo City, Iloilo",,
HAWIHALI PHARMA AND MEDICAL SUPPLIES TRADING,pharmacy,"PUROK 4, BRGY. IV, Himamaylan City, Negros Occidental",,
VICWIN PHARMACY,pharmacy,"Brgy. Poblacion II, Enrique B. Magalona, Negros Occidental",,
PETER &amp; PHARIZ DRUGSTORE,pharmacy,"Tupas St., Barangay 5,, Tigbauan, Iloilo",,
AL KAWTHER PHARMACY,pharmacy,"Barangay Bancal, Carles, Iloilo",,
FARMACIA ESCORPION,pharmacy,"Rizal St., Brgy. 2, Poblacion, Igbaras, Iloilo",,
Franz N' Roses Pharmacy,pharmacy,"Brgy. Flores, City Proper, Iloilo City, Iloilo",,
DB Pharmacy,pharmacy,"Poblacion, San Rafael, Iloilo",,
"Rose Pharmacy, Incorporated",pharmacy,"MJD Bldg., San Jose Street, San Jose Ward (Poblacion), Pototan, Iloilo",,
Angefel Pharmacy,pharmacy,"ngay Corner Real-Sto. Domingo Sts. Purok 3 (Pob), San Joaquin, Iloilo",,
KLMN Pharmacy,pharmacy,"Purok 3 Quadra Montelibano St., Granada, Bacolod City, Negros Occidental",,
Farmacia Belle,pharmacy,"D.b Oñate St., Concepcion, Iloilo",,
MEDVALUE PHARMACY,pharmacy,"Poblacion, Tibiao, Antique, Western Visayas (Region VI), 5707, Tibiao, Antique",,
RA IMPERIAL PHARMACY AND GENERAL MERCHANDISE,pharmacy,"BANGA PUBLIC MARKET, JP RIZAL ST., POBLACION, Banga, Aklan",,
Sebastian Drugstore,pharmacy,"Brgy. Aganan, Pavia, Iloilo",,
SUPER K DRUG CORPORATION,pharmacy,"DR. GONZALES STREET, Kalibo, Aklan",,
ROSE PHARMACY,pharmacy,"J.C. Zulueta St., Brgy. Pob. South, Oton, Iloilo, Western Visayas (Region VI), 5020, Oton, Iloilo",,
ROSE PHARMACY,pharmacy,"cor. Araneta & Cartagena Sts., Brgy. Ilaud Poblacion, Barotac Nuevo, Iloilo, Western Visayas (Region VI), 5007, Barotac Nuevo, Iloilo",,
DROGALIFE DRUGSTORE,pharmacy,"Purok Santanville, Araneta Street, Brgy Sum-ag, Bacolod City, Negros Occidental",,
V'SANDROS PHARMACY,pharmacy,"Cabrera Compound, Lupa, Sitio Cubay, Brgy. Guinhalaran, Silay, Negros Occidental",,
BOTICA RAINNE,pharmacy,"BARANGAY TUYOM, Cauayan, Negros Occidental",,
Enzo's Pharmacy,pharmacy,"West Timawa, Molo, Iloilo City, Iloilo",,
TERRY DRUGSTORE,pharmacy,"Davis Commercial Building, San Miguel, Jordan, Guimaras",,
MOMMY JOY PHARMA-MART,pharmacy,"Purok Dap-Dap, Barangay Poblacion, Valladolid, Negros Occidental, Negros Island Region, 6103, Valladolid, Negros Occidental",,
CARIMED PHARMACY,pharmacy,"Brgy. Hibao-an Sur, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo",,
FARMACIA DUSTAN,pharmacy,"Pagunsan St., Barangay Ubos (Pob.), Valderrama, Antique, Western Visayas (Region VI), 5703, Valderrama, Antique",,
NEGROS GRACE PHARMACY,pharmacy,"Metro Plaza, Bacolod, Negros Occidental",,
"Rose Pharmacy, Incorporated",pharmacy,"ANA Bldg. Lot 556 Poblacion Sur, Sigma, Capiz",,
Auxfred Pharmacy,pharmacy,"Bermejo St., Brgy. Zone III, Cabatuan, Iloilo",,
FARMACIA TERESITA,pharmacy,"Arnaldo Blvd., Roxas, Capiz, Western Visayas (Region VI), 5800, Roxas, Capiz",,
E-C PHARMACEUTICAL PRODUCTS WHOLESALING,pharmacy,"#6 BR PUEYO BUILDING BURGOS STREET BRGY. BURGOS-MABINI-PLAZA, LA PAZ, Iloilo City, Iloilo",,
FARMACIA NI DOK,pharmacy,"Door No.4 Cineplex Bldg., Araneta Street Brgy. 12, Bacolod City, Negros Occidental",,
DUREMDES DRUGSTORE,pharmacy,"Burgos-Regidor-Zamora, Dumangas, Iloilo",,
KINGSMED PHARMACY AND MEDICAL SUPPLY,pharmacy,"#6 D.B. Ledesma St. Jaro, Iloilo City, Iloilo",,
98 EL PHARMACY AND MEDICAL CLINIC,pharmacy,"Zarraga Public Market, Ilawod Poblacion, Zarraga, Iloilo, Western Visayas (Region VI), 5004, Zarraga, Iloilo",,
DM &amp; 3J'S PHARMACY,pharmacy,"Fenete St., District III, Sibalom, Antique, Western Visayas (Region VI), 5713, Sibalom, Antique",,
APTEK PHARMACY,pharmacy,"Public Market, Poblacion, Culasi, Antique, Western Visayas (Region VI), 5708, Culasi, Antique",,
GBX PHARMACY CORPORATION,pharmacy,"Rizal St., Barangay II, Himamaylan, Negros Occidental, Negros Island Region, 6108, Himamaylan, Negros Occidental",,
SUPER K DRUG-VI,pharmacy,"Bantud, Barangay Manocmanoc, Boracay Island,, Malay, Aklan, Western Visayas (Region VI), 5608, Malay, Aklan",,
RX QUEEN PHARMACY,pharmacy,"Quencita Bldg., E. Lopez St., Jaro, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo",,
RX QUEEN PHARMACY,pharmacy,"PCPM (Passi City Public Market) Main Passi City, Passi, Iloilo, Western Visayas (Region VI), 5037, Passi, Iloilo",,
I.S. MEDICINE CORNER,pharmacy,"QHP Commercial Complex, Gen. Luna St., Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo",,
Leomax Drugstore,pharmacy,"Brgy. Poblacion, Leganes, Iloilo",,
VACCINE NETWORK PHARMACY,pharmacy,"Room 6 J &amp; E Bldg., North Drive, Bacolod, Negros Occidental",,
LTAB PHARMACY,pharmacy,"Zulueta Drive, Poblacion, Barotac Viejo, Iloilo",,
Farmacia Osal,pharmacy,"Tingui-an, Balasan, Iloilo",,
Bienz Pharmacy,pharmacy,"Purok 3 Lopez Jaena St.,Brgy.Sambag Jaro, Iloilo City, Iloilo",,
GALT'Z MEDICAL CLINIC AND PHARMACY,pharmacy,"New Site, Jordan, Guimaras, Western Visayas (Region VI), 5045, Jordan, Guimaras",,
Farmacia Natividad,pharmacy,"Brgy. Rumbang, Pototan, Iloilo, Western Visayas (Region VI), 5008, Pototan, Iloilo",,
SUPER K DRUG XXIII,pharmacy,"BARANGAY LAWAAN, ROXAS CITY, CAPIZ, Roxas City, Capiz",,
GRW DRUGSTORE,pharmacy,". MALILAY BUILDING, ROXAS AVE EXT, ANDAGAO, Kalibo, Aklan",,
"Healberg Lifestyle Medical Center and Clinics, Inc.",pharmacy,"Robinsons Cybergate Araneta St., Brgy Singcang-Airport, Bacolod City, Negros Occidental",,
NEGROS GRACE PHARMACY,pharmacy,"Lopue's San Sebastian St., Bacolod, Negros Occidental",,
AGUIRRE DRUGSTORE,pharmacy,"National Road, President Roxas, Capiz, Western Visayas (Region VI), 5803, President Roxas, Capiz",,
CARIDAD PHARMACY,pharmacy,"Marc Building, Cabalfin St., Poblacion, Leon, Iloilo, Western Visayas (Region VI), 5026, Leon, Iloilo",,
SANTA SUSANA DRUGSTORE,pharmacy,"PUROK 3, SAN JOAQUIN, ILOILO, San Joaquin, Iloilo",,
THE GENERICS PHARMACY,pharmacy,"J. Tolosa St., Caticlan, Malay, Aklan, Western Visayas (Region VI), 5608, Malay, Aklan",,
Diala Pharmacy,pharmacy,"Barangay Poblacion Ilaya, San Enrique, Iloilo",,
GENERIKA DRUGSTORE,pharmacy,"Unit 2, MLT Building, Minglanilla St., Brgy. Suba, Calatrava, Negros Occidental",,
"Rose Pharmacy, Incorporated",pharmacy,"RNMA Building Bermejo St., Brgy. Zone III, Cabatuan, Iloilo",,
RCare Pharmacy,pharmacy,"San Diego St., Brgy. Hipona, Pontevedra, Capiz",,
Madolene Pharmacy,pharmacy,"Purok Palma, Barangay Roberto Salas Benedicto, La Carlota City, Negros Occidental",,
GENERIKA DRUGSTORE,pharmacy,"Isagani St., Ilawod, Pontevedra, Capiz",,
"METRO RETAIL STORES GROUP, INC.",pharmacy,"Brgy. Zone 15, Ayala North Point, Talisay, Negros Occidental",,
TONISAN PHARMACY,pharmacy,"144-A 19 Martyrs Street, Kalibo, Aklan",,
"Rose Pharmacy, Incorporated",pharmacy,"Abela Bldg., Hughes St., Barangay IV, Roxas City, Capiz",,
GUIMHEALTH PHARMACEUTICAL DISTRIBUTOR AND DRUGSTORE,pharmacy,"GGJ Building, Quezon Street, Barangay Quezon, Arevalo, Iloilo City, Iloilo",,
RIOSTAR PHARMACY,pharmacy,"Barangay Poblacion, Ajuy, Iloilo",,
GIGI'S PHARMACY,pharmacy,"Brgy. Balucuan, Dao, Capiz, Western Visayas (Region VI), 5810, Dao, Capiz",,
Medshoppe Pharmacy,pharmacy,"Poblacion, Malinao, Aklan",,
GENERIKA DRUGSTORE,pharmacy,"Zone VI-Balabag Ext., Boracay Island, Malay, Aklan, Western Visayas (Region VI), 5608, Malay, Aklan",,
THE GENERICS PHARMACY,pharmacy,"Puregold Building, corner Mabini-Libertad Sts., Brgy. 40, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental",,
THE GENERICS PHARMACY,pharmacy,"106 Olivar Bldg., Quintin Salas St., Jaro, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo",,
"Rose Pharmacy, Incorporated",pharmacy,"Godo Bldg., Corner S. Aguilar St., / F. Palmares St., Barangay Poblacion Ilawod, Passi City, Iloilo",,
GCARE II DRUGSTORE,pharmacy,"Cubay, Jaro, Iloilo City, Iloilo",,
GENERIKA DRUGSTORE,pharmacy,"Lot 17B, Donato Pison (across SNR), Barangay San Rafael, Mandurriao, Iloilo City, Iloilo",,
THE GENERICS PHARMACY,pharmacy,"Poblacion, Banate, Iloilo, Western Visayas (Region VI), 5010, Banate, Iloilo",,
THE GENERICS PHARMACY,pharmacy,"Zamarli Bldg., Muyco St.,, Dingle, Iloilo, Western Visayas (Region VI), 5035, Dingle, Iloilo",,
Caremeds Pharmacy,pharmacy,"Barangay Poblacion, Ajuy, Iloilo",,
ValueMed Generics Pharmacy,pharmacy,"Cuison Bldg. Cor. Gatuslao-San Sebastian, Brgy. 15, Bacolod City, Negros Occidental",,
KAROL'S PHARMACY,pharmacy,"Stall 24, Kalibo Shopping Center, Poblacion, Kalibo, Aklan",,
ROSE PHARMACY,pharmacy,"N2 Prince Hypermart, Brgy. Libot, Calinog, Iloilo",,
ASRV PHARMACY,pharmacy,"POBLACION ALTAVAS, Kalibo, Aklan",,
Mercury Drug,pharmacy,"Marañon Street, Barangay Poblacion II, Sagay City, Negros Occidental",,
BOTIKAMAMZ,pharmacy,"ISIO PUBLIC MARKET, BARANGAY ISIO, Cauayan, Negros Occidental",,
G &amp; G PHARMACY,pharmacy,"Barangay Switch, Tapaz, Capiz, Western Visayas (Region VI), 5814, Tapaz, Capiz",,
DOS PHARMA DISTRIBUTOR,pharmacy,"C. Castor Street Barangay Poblacion Market, Sara, Iloilo",,
EST 1959 PHARMACY,pharmacy,"166 GALO-GASATAYA STREETS, BRGY. 20, BACOLOD CTY, Bacolod City, Negros Occidental",,
MALEZA'S DRUGSTORE,pharmacy,"Fulton St., Isio,, Cauayan, Negros Occidental, Negros Island Region, 6112, Cauayan, Negros Occidental",,
John Benison Pharmacy,pharmacy,"Malunda St. Poblacion Takas, Cuartero, Capiz",,
Floretes Drug Haus,pharmacy,"Magallanes Street, Binalbagan, Negros Occidental",,
Antonino Drugstore - Malinao (main),pharmacy,"Poblacion, Malinao, Aklan",,
JRN MEDICAL INCORPORATED,pharmacy,"BAGO CITY PUBLIC MARKET ARANETA STREET 4TH DISTRICT POBLACION,, Bago City, Negros Occidental",,
Tuner's 3 Drugstore,pharmacy,"Brgy. West Habog-Habog, Molo, Iloilo City, Iloilo",,
VIRGINIA'S PHARMACY,pharmacy,"Blk. #7 NPM, Rizal St., Brgy. Zone II, Murcia, Negros Occidental",,
MERCURY DRUG,pharmacy,"Roxas Avenue corner L. Barrios Street, Poblacion, Kalibo, Aklan, Western Visayas (Region VI), 5600, Kalibo, Aklan",,
MERCURY DRUG,pharmacy,"Gen. Luna St., Brgy. Sampaguita, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo",,
MERCURY DRUG,pharmacy,"G/F West Arcade, Robinson's Place Bacolod, Lacson St., Barangay Mandalagan, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental",,
MERCURY DRUG,pharmacy,"MST Building, Rizal St., Barangay IV Poblacion, Hinigaran, Negros Occidental, Negros Island Region, 6106, Hinigaran, Negros Occidental",,
NEGROS GRACE PHARMACY,pharmacy,"888 China Town Square, corner Gatuslao St., Cottage Road, Bacolod, Negros Occidental",,
LORICEL PHARMACY,pharmacy,"GMT Delgado St., Brgy. Zone II, (Pob.), Santa Barbara, Iloilo, Western Visayas (Region VI), 5002, Santa Barbara, Iloilo",,
AN'C DRUGSTORE,pharmacy,"#40 & #41 Kalibo Shopping Center, Kalibo, Aklan",,
Gelo Pharmacy,pharmacy,"Nav's Commercial building F. Gorriceta Avenue, Brgy. Balabag, Pavia, Iloilo, Pavia, Iloilo",,
Ronica Drugstore,pharmacy,"Caticlan, Malay, Aklan",,
THE GENERICS PHARMACY,pharmacy,"Brgy. Poblacion Tabuc, Maayon, Capiz",,
Soliva Drugstore,pharmacy,"Roxas St., San Miguel, Iloilo",,
CCRJ PHARMACY,pharmacy,"Barangay Poblacion, Ajuy, Iloilo",,
Ruthcelmar Drugstore,pharmacy,"Brgy. Gloria, Ledesma St.,, Iloilo City, Iloilo",,
Molina's Drugstore,pharmacy,"T.A FORNIER ST. , San Jose de Buenavista , Antique",,
"MerryMart Grocery Centers, Inc.",pharmacy,"Phase 5 Alta Tierra Village, Mc Arthur Highway, Barangay Quintin Salas, Jaro, Iloilo City, Iloilo",,
E. Dumaguit Pharmacy,pharmacy,"Public Market, Brgy. Capuling, DueÃ±as, Iloilo, DueÃ±as, ILOILO",,
CCRJ PHARMACY,pharmacy,"Sitio Tollhouse, Barangay San Lucas, Barotac Viejo, Iloilo, Western Visayas (Region VI), 5011, Barotac Viejo, Iloilo",,
Mercury Drug,pharmacy,"Unit 1C, 1D and 1E Ground Floor, A&B Building, Osmeña Street, Barangay Poblacion Centro, Calinog, Iloilo, Calinog, Iloilo",,
JDN PHARMACY AND MEDICAL SUPPLIES,pharmacy,"Barangay Estefania, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental",,
SINCERE DRUGSTORE,pharmacy,"SILAY PUBLIC MARKET, BURGOS ST., Silay, Negros Occidental, Negros Island Region, 6116, Silay, Negros Occidental",,
Limen Pharmacy II,pharmacy,"New Poblacion, Buenavista, Buenavista, Guimaras",,
MERCURY DRUG,pharmacy,"Corner Araneta-Luzuriaga Streets, Barangay 13, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental",,
CD DRUGSTORE,pharmacy,"Brgy. Guisijan, Laua-An, Antique",,
PRECISION MED PHARMACY,pharmacy,"Ground floor Unit B PL Lhuiller Building, San Sebastian Street, Barangay 13, Bacolod City, Negros Occidental",,
ROSE PHARMACY,pharmacy,"J.M. Basa - Guanco Street, Barangay Nonoy, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo",,
BLANCAFLOR DRUGSTORE,pharmacy,"Purok Rosas, Brgy. Su-ay, Himamaylan, Negros Occidental, Negros Island Region, 6108, Himamaylan, Negros Occidental",,
"FAMILYHEALTH &amp; BAUTY CORP.,",pharmacy,"Cor. Circumferencial Road and Burgos St., Brgy. Villamonte, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental",,
DCS PHARMACY,pharmacy,"Purok Mangga, Brgy. Tabugon, Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental",,
NEGROS GRACE PHARMACY,pharmacy,"Vertland Bldg., San Juan St., Brgy. 10, Bacolod, Negros Occidental",,
ANNCHE-MAR PHARMACY,pharmacy,"Brgy. Jibolo, Janiuay, Iloilo",,
FARMACIA ALENJEN,pharmacy,"33 Phase IV D' Mall D ' Boracay,  Balabag , Malay, Aklan",,
Sonji Pharmacy,pharmacy,"Stall #38 Ground Floor, Brgy. Ilaud Poblacion, Barotac Nuevo, Iloilo",,
SOUTH STAR DRUG,pharmacy,"Robinson's Supermarket, Molo GT Mall, M. H. Del Pilar St. Molo, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo",,
MD PHARMACY,pharmacy,"Tres Fuentes-Rizal Street, Brgy. Rizal, Silay, Negros Occidental",,
MYRN'S PHARMACY,pharmacy,"San Miguel, Jordan, Guimaras",,
HORMEL PHARMACY,pharmacy,"Melliza St., Brgy. Poblacion, Ilaud, Zarraga, Iloilo, Western Visayas (Region VI), 5004, Zarraga, Iloilo",,
PINK PHARMACY,pharmacy,"POBLACION, Barbaza, Antique",,
R &amp; E Pharmacy,pharmacy,"Salvani Street, Poblacion, Patnongon, Antique",,
LESUS PHARMACY,pharmacy,"Brgy. Poblacion, Sapi-An, Capiz",,
GENERIKA DRUGSTORE,pharmacy,"Lot 571-C Purok Masagana, Araneta St., Barangay Sum-ag, Bacolod City, Negros Occidental",,
ST. BARAQUIEL PHARMACY,pharmacy,"Magsaysay St., Badiangan, Iloilo",,
THE GENERICS PHARMACY,pharmacy,"Barangay Gerona-Gemino, Guimbal, Iloilo, Western Visayas (Region VI), 5022, Guimbal, Iloilo",,
Ledesma Pharma and Medical Supplies Trading,pharmacy,"Brgy. Tagbac, Jaro, Iloilo City, Iloilo",,
MERCURY DRUG,pharmacy,"N &amp; E Tan Bldg., Roxas Avenue, Barangay IX, Roxas, Capiz",,
MERCURY DRUG,pharmacy,"Isagani St., Barangay Poblacion Ilawod, Pontevedra, Capiz, Western Visayas (Region VI), 5802, Pontevedra, Capiz",,
PHARMACIA BAGO MEDICA,pharmacy,"2nd Street, Bago Public Market, Bago City, Negros Occidental",,
Abenes Pharmacy,pharmacy,"Rizal Street Barangay Poblacion, San Enrique, Negros Occidental",,
L'CACHRIS PHARMACY,pharmacy,"345 HUERVANA ST., Lapaz, Iloilo",,
JOSMEF PHARMA INC.,pharmacy,"Javellana - E. Lopez St., Jaro, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo",,
THE GENERICS PHARMACY,pharmacy,"R. Tabiana St., Brgy. Poblacion, Leon, Iloilo, Western Visayas (Region VI), 5026, Leon, Iloilo",,
THE GENERICS PHARMACY,pharmacy,"Public Market, Poblacion, Pres. Roxas, Capiz",,
MZ Care Pharmacy,pharmacy,"Blumentrit Street, Poblacion Ilaya, Dumarao, Capiz",,
JMD Pharmacy,pharmacy,"Guisijan, Laua-an, Antique, Laua-An, Antique",,
Meriam Drugstore,pharmacy,"Zone 2. Don Esteban, Lapuz, Iloilo, ILOILO",,
GENERIKA DRUGSTORE,pharmacy,"Lot 2477-D-1 Onate St., Brgy. Onate De Leon, Mandurriao, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo",,
BORRES PHARMACY,pharmacy,"Barangay Pob. Tabuc, Ma-ayon, Capiz",,
The Generics Pharmacy,pharmacy,"Railway St., Passi City Iloilo, Passi City, Iloilo",,
The Generics Pharmacy,pharmacy,"Nuñez Street,Poblacion Tabuc, Mambusao, Capiz",,
Merry Pharmacy,pharmacy,"Villareal Highway, Poblacion Proper, Mambusao Capiz, Mambusao, Capiz",,
Ved Pharmacy,pharmacy,"Barangay Poblacion, Carles, Iloilo",,
Ira Tan Medical Health Services,pharmacy,"GGJ Building , Quezon Street, Barangay Quezon, Arevalo, Iloilo City, Iloilo City, Iloilo",,
Medcenter Pharmacy,pharmacy,"Ach. Anacleto H. Villavert Building,T.A. Fornier St.,Barangay 7, San Jose de Buenavista, Antique",,
M&amp;E Drugmart,pharmacy,"Barangay Bailan, Pontevedra, Capiz",,
RONALIZA PHARMACY,pharmacy,"Legaspi St., Brgy. Baybay Norte (Pob.), Miagao, Iloilo, Western Visayas (Region VI), 5023, Miagao, Iloilo",,
JORDMED PHARMA,pharmacy,"TAN LORENZO ST. BRGY.1, Kabankalan, Negros Occidental",,
A and M DRUGSTORE,pharmacy,"RIZAL ST.,MINA WEST, MINA,ILOILO, Mina, Iloilo",,
BUD PHARMACY,pharmacy,"BALDEVIA BLDG, RIZAL HIGHWAY, BRGY 1,, Silay City, Negros Occidental",,
MERCURY DRUG,pharmacy,"Gurrea St., La Carlota, Negros Occidental, Negros Island Region, 6130, La Carlota, Negros Occidental",,
