REGION,CHD,PROVINCE,CITY,COMPLETE ADDRESS,OWNERSHIP,NAME OF CLINIC,NO. OF STATION,HEAD OF THE FACILITY,CONTACT NUMBER,VALIDITY
REGION 1,ILOCOS,PANGASINAN,,"Quezon Boulevard Ext., Brgy. Poblacion, Malasiqui, Pangasinan",PVT,AVITUS MALASIQUI DIALYSIS CENTER CORP.,8,Dr. Concepcion C. Cabatbat,09175345111/047-2221155/09176537821,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 1,ILOCOS,PANGASINAN,,"2F Universal Health General Hospital, Brgy. Cabatling, Malasiqui, Pangasinan",PVT,NORTHERN FAITH DIALYSIS CENTER,10,Dr. Irina Rey-Roxas,9278348160,"Mar. 2, 2020 to Dec. 31, 2022"
REGION 1,ILOCOS,PANGASINAN,,"2nd Floor Mendoza Building, Magsaysay Street, Malasiqui, Pangasinan",PVT,EXPERT KIDNEY CARE DIALYSIS CENTER INC. ,12,Dr. Michael B. Fernandez,09277377542/09395723537,"April 24, 2021 to Dec. 31, 2023"
REGION 1,ILOCOS,PANGASINAN,,"3/F Villasis Polymedic Hospital & Trauma Center, Inc., Zone II, Barangay Poblacion, Villasis, Pangasinan",PVT,NEPHRO ZONE HEALTH CARE,9,Dr. Manuel F. Quirino,075-5232590/09159840456,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 1,ILOCOS,PANGASINAN,Dagupan City,"Coquia Building, 275 Caranglaan District, Dagupan City, Pangasinan",PVT,"CIPRIANA COQUIA MEMORIAL DIALYSIS AND KIDNEY CENTER, INC.",22,Dr. Abraham T. Coquia,09175634517/09277603861/075-5225586 LOC 804/5157183/09338526632,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 1,ILOCOS,PANGASINAN,San Carlos City,"# 944 Rizal St., 3rd Floor, Pangasinan Doctors Hospital, San Carlos City, Pangasinan",PVT,NEPHROLOGY CENTER OF PANGASINAN DIALYSIS INC.,10,Dr. Elizabeth B. Estoesta,02-3767148/09228636475/6362484,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 1,ILOCOS,PANGASINAN,Urdaneta City,"National Highway, Nancayasan, Urdaneta City, Pangasinan",PVT,"HEMOTEK RENAL CENTER, INC.",13,Dr. Michael V. Fernandez,075-6530816/5361091/5293187/2040899,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 2,CAGAYAN VALLEY,CAGAYAN,,"Grupo Medical de Dios, Inc., Bulala, Camalaniugan, Cagayan",PVT,"B. BRAUN AVITUM PHILIPPINES, INC.",10,Dr. Maridel O. Gorospe,0917-8659262 / 0917-8623959,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 2,CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"Luna St., Centro 02, Tuguegarao City, Cagayan",PVT,"B. BRAUN AVITUM PHILS., INC.",15,Dr. Frederick L. Parallag,0917-6536614,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 2,CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"3/F Cagayan United Doctors Medical Center, Bagay Rd., Caritan Centro, Tuguegarao City",PVT,"B. BRAUN AVITUM PHILIPPINES, INC. ",15,Dr. Frederick L. Parallag,9176536614,"Dec. 16, 2021 to Dec. 31, 2023"
REGION 2,CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"2nd Floor, MYL Building, Buntun Highway, Tuguegarao City, Cagayan",PVT,"SAN BENEDICTO RENAL CARE CENTER, INC.",12,Dr. Rema G. Caronan-Parallag,0995-2788450 / 0917-6293720,"Feb. 20, 2020 to Dec. 31, 2022"
REGION 2,CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"Pan Philippine Highway cor. Mercedes Village, Pengue, Tuguegarao City",PVT,"ST. THERESA DIALYSIS CENTER, INC.",15,Dr. Isabelle Delos Santos,0977-8198340,"Dec. 16, 2020 to Dec. 31, 2022"
REGION 2,CAGAYAN VALLEY,ISABELA,,"APC Building, Anao, Cabagan, Isabela",PVT,"SAINT MARY KIDNEY CARE, INC.",17,Dr. Edmund C. Bautista,0977-8198340,"Aug. 13, 2020 to Dec. 31, 2022"
REGION 2,CAGAYAN VALLEY,ISABELA,,"Doña Syquia St., Brgy. Bantug, Roxas, Isabela",PVT,"B. BRAUN AVITUM PHILIPPINES, INC.",12,Dr. Erika Bianca Villazor-Isidro,5885600 / 035-5885668,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 2,CAGAYAN VALLEY,ISABELA,,"Leaño Bldg., National Highway Brgy. 03, San Mateo, Isabela",PVT,"SAN MATEO KIDNEY CARE AND DIALYSIS CENTER, INC",6,Dr. Kristen Ann C. Manalo,0905-0322104,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 2,CAGAYAN VALLEY,ISABELA,Cauayan City,"#25 Rizal Ave., District III, Cauayan City, Isabela",PVT,"CAUAYAN CITY RENAL CARE SERVICES, INC.",10,Dr. Omega M. Biton,078-6521834,"Dec. 4, 2020 to Dec.31, 2022"
REGION 2,CAGAYAN VALLEY,ISABELA,Cauayan City,"Rosemary Reyes St., District 1, Cauayan City, Isabela",PVT,"CURIS HEMODIALYSIS CLINIC, INC.",12,Dr. Juvelon G. Mendoza,0905-7944561 / 0945-3724989,"July 27, 2020 to Dec. 31, 2022"
REGION 2,CAGAYAN VALLEY,ISABELA,Cauayan City,"#8 Rizal Avenue, Cauayan City, Isabela",PVT,"DCCI-DIALYSIS CENTER OF CAUAYAN, INC.",10,Dr. Glenn R. Butuyan,0915-5364940 / 0961-2466620,"Jan. 7, 2020 to Dec. 31, 2022"
REGION 2,CAGAYAN VALLEY,ISABELA,Cauayan City,"Cauayan District Hospital, Rosemarie Reyes St., Cauayan City, Isabela",PVT,"MSR HEALTH CARE, INC.",10,Dr. Erika Bianca S. Villazor-Isidro,0906-5444924,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 2,CAGAYAN VALLEY,ISABELA,City of Ilagan,"GFNDSMH Hospital, Calamagui 2nd, City of Ilagan, Isabela",PVT,"MSR HEALTH CARE, INC.",10,Dr. Marissa M. Mamate,02-5501489/0906-5444924,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 2,CAGAYAN VALLEY,ISABELA,Santiago City,"De Vera's Medical Center, City Road, Calao East, Santiago City, Isabela",PVT,"B. BRAUN AVITUM PHILS., INC.",9,Dr. Elenwhite Caras-Luna,0917-5153645 / 0917-8623959,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 2,CAGAYAN VALLEY,ISABELA,Santiago City,"JK Bldg., 68 Maharlika Highway, Villasis, Santiago City, Isabela",PVT,"ISABELA KIDNEY CARE DIALYSIS CENTER, INC.",8,Dr. Kristen Ann C. Manalo,078-3055520 / 0917-4669565,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 2,CAGAYAN VALLEY,ISABELA,Santiago City,"Villasis, Santiago City, Isabela",PVT,"SANTIAGO CITY KIDNEY CENTER, INC.",12,"Dr. Glenn R. Butuyan, FPCP, FPSN",078-3052064,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 2,CAGAYAN VALLEY,ISABELA,Santiago City,"AMF Bldg., Bayaua St., Centro East, Santiago City, Isabela",PVT,"SANTIAGO CITY RENALCARE SERVICES, INC.",15,Dr. Omega Malillin-Biton,0917-5628901,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 2,CAGAYAN VALLEY,ISABELA,Santiago City,"Arellano St., Dubiran East, Santiago City, Isabela",PVT,UKARE ADVANCE DIALYSIS CENTER,10,Dr. Diezi Belinda A. Ramos,0933-8789345,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 2,CAGAYAN VALLEY,NUEVA VIZCAYA,,"National Highway, Banganan, Aritao, Nueva Vizcaya",PVT,JPF RENAL CARE CENTER,8,"Dr. Kaye Kristine P. Estiandan, FPCP, DPSN",0977-2934617,"Feb. 3, 2020 to Dec. 31, 2022"
REGION 2,CAGAYAN VALLEY,NUEVA VIZCAYA,,"Nueva Vizcaya-Ifugao-Mountain Province Road, Brgy. Lantap, Bagabag, Nueva Vizcaya",PVT,"B. BRAUN AVITUM PHILIPPINES, INC.",15,Dr. Rubylaine Grace G. Par-Pinoy,0917-5152631,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 2,CAGAYAN VALLEY,NUEVA VIZCAYA,,"National Hi-way, Bonfal Proper, Bayombong, Nueva Vizcaya",PVT,"VIZCAYA NEPHROCARE DIALYSIS CENTER, INC.",12,Dr. Rubylaine Grace P. Pinoy,078-3921841/09175646444,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 2,CAGAYAN VALLEY,NUEVA VIZCAYA,,"79 Burgos St., Solano, Nueva Vizcaya",PVT,VIZCAYA KIDNEY CARE CENTER COOPERATIVE,3,Dr. Ruby Cheryl C. Menia,078-3267051,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BATAAN,,"Barangay Wawa, Limay, Bataan",PVT,LIMAY DIALYSIS CENTER,10,Edmundo M Pasamba,09175762795/09999945495/09209161386,"Aug. 17, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,BATAAN,,"Brgy. Duale, Limay, Bataan",PVT,LIMAY KIDNEY AND DIALYSIS CENTER CORPORATION ,10,Dr. Shalee Santos,,"Dec. 9, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BATAAN,,"Km. 148, Villa Imperial Subd. Lucanin, 3rd Dist. Mariveles, Bataan",PVT,"SAINT NICHOLAS DIALYSIS CENTER , INC.",21,Dr. Bryan Christian llagan,09778198340/09504476909,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,BATAAN,,"Kaparangan, Orani, Bataan",PVT,ORANI KIDNEY AND DIALYSIS CENTER,8,Dr. Hezel A. Diwa,9989926763,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,BATAAN,Balanga City,"Laurel St., San Jose, Balanga City, Bataan",PVT,BATAAN KIDNEY AND DIALYSIS CENTER,17,Dr. Ma. Jewewui Reyes,047-2371342/2404825,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BATAAN,Balanga City,"600 General Capinpin St., San Jose, Balanga City, Bataan",PVT,CLINICA NEPHROLOGIA DIALYSIS AND MEDICAL CENTER,26,Ma. Lorelie Lucio-Tong,047-2376627/09178084880,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,BATAAN,Balanga City,"600 General Capinpin St. San Jose Balanga, Bataan",PVT,"SAINT NICHOLAS DIALYSIS CENTER, INC. ",21,Dr. Ma. Lorelei Lucio Tong,9778198340,"April 8, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,,"M. Ponce St., Tibag, Baliuag, Bulacan",PVT,PRO RENAL SPECIALIST DIALYSIS CENTER CORPORATION,10,Dr. Minerva G. Nicolas,9228316500,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,,"252 Burgos St., Brgy. Poblacion,Bocaue, Bulacan",PVT,PRO RENAL SPECIALIST DIALYSIS CENTER CORPORATION,13,Dr. Rocelia DR. Gonzales,0922-8316500,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,,"General A. Santos Highway, Poblacion, Bustos, Bulacan",PVT,RENAL SOLUTIONS DIALYSIS CENTER CO.,11,Dr. Olivia Idio,044-7611005,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,,"G. del Pilar, Poblacion, Calumpit, Bulacan",PVT,PRO RENAL SPECIALIST DIALYSIS CENTER CORPORATION,10,Dr. Minerva Nicolas,0922-8316500/8152455,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,,"Along McArhur Highway, G/F ASM Plaza Building, Caniogan, Calumpit, Bulacan",PVT,"ST. FRANCIS HEMODIALYSI CENTER, INC. ",10,Dr. Ritchel A. Hidalgo,0917-5174933,"Jan. 18.2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,,"#662 JFBI Security Building, McArthur Hi-way, Ilang-ilang, Guiguinto, Bulacan",PVT,RENAL DIALYSIS CENTER,7,Dr. Ritchel A. Hidalgo,9330041975,"July 21, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,BULACAN,,"Municipal Compound Poblacion, Norzagaray, Bulacan",PVT,"PRO RENAL SPECIALIST DIALYSIS CENTER, INC.",6,DR. Mara Tugade,9228316500,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,BULACAN,,"G/F Juan Hugo Ccommercial Complex, JP Rizal t., Poblacion, Pandi, Bulacan",PVT,"NEPHROMED SPECIALISTS, INC.",8,Dr. Minerva G. Nicolas,8026008/09772068542,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,BULACAN,,"2nd Floor Reina del Cielo Maternity and General Hospital, Brgy. Banga 1st . Plaridel, Bulacan",PVT,"HEMOTEK RENAL CENTER, INC.",9,Dr. Rachell Ann C. Siute,044-7955381,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,BULACAN,,"Marcelo-Padilla Children's & Medical Hospital, Banga 1st, Plaridel, Bulacan",PVT,RENAL LIFECARE DIALYSIS CENTER CO.,5,Dr. Marichel Pile-Coronel,44-9312752,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,,"National Road, Poblacion, Pulilan, Bulacan",PVT,THE GOOD SHEPHERD HOSPITAL RENAL CENTER CO.,5,Dr. Marichel DC Pile,,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,BULACAN,,"Cagayan Valley Road, Old St. Rita, San Miguel, Bulacan",PVT,EMMANUEL HOSPITAL DIALYSIS CENTER,10,Dr. Angelito A. Rioveros,044-7620890/0917838343,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,,"#67 R. Mercado St., Poblacion, Sta. Maria, Bulacan",PVT,GEM NEPHROCARE DIALYSIS CENTER,5,Ritchell A. Hidalgo,0961-404-2996 / 0933-288-8111,"Jan. 3, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,BULACAN,,"Rogaciano M. Mercado Mem Hospital, C. De Jesus St., Sta. Maria, Bulacan",PVT,"MSR HEALTH CARE, INC.",12,Dr.Joemie D. Soriano,02-5510646,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,BULACAN,,"Puregold Bldg., Gov. F. Halili Avenue, Bagbaguin, Sta. Maria, Bulacan",PVT,RENAL CENTER AND MULTI-SPECIALTY CLINIC CORP,10,Dr. Ma. Katrina Salazar-Simon,044-7629202,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,BULACAN,,"Brgy. Guyon, Sta. Maria, Bulacan",PVT,ST. DOMINIC RENALCARE DIALYSIS CENTER,20,Dr. Genesere Bernarbe Vino,044-8026484,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,BULACAN,Malolos City,"Unit 8, New Santos Clinic Comp., McArthur Highway, City of Malolos Bulacan",PVT,NEPHROLOGY CENTER OF MALOLOS BULACAN,10,Dr. Florante G. Tuazon,044-7906553,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,BULACAN,Meycauayan City,"McArthur Highway, Brgy. Calvario, Meycauayan, Bulacan",PVT,"NEPHROLOGY CENTER OF MEYCAUAYAN BULACAN, INC,",15,Florante G. Tuazon,044-8122313,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,San Jose del Monte City,"Saints Vivians Plaza M. Villarica Provincial Rd. Brgy. Muzon, SJDM, Bulacan",PVT,CVS DIALYSIS CENTER ,11,Dr. Stephen Roberts,9179691131,"June 29, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,San Jose del Monte City,"Lauan St. cor. Upper Apitong St., Phase 6, Pleasant Hills subd., Brgy. San Manuel, San Jose Del Monte City, Bulacan",PVT,MSR HEALTH CARE INC.,12,Dr. Aubrey D. Andales-Severo,9293441354,"July 21, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,BULACAN,San Jose del Monte City,"101 FLB Bldg. Tungkong Mannga, City of San Jose Del Monte, Bulacan",PVT,METROHEMO DIALYSIS CENTER ,5,Dr. Ma. Christina P. Kaw,0917-8181918/044-8026775,"Oct. 25, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,PAMPANGA,,"Mc Arthur Highway, Sulipan, Apalit Pampanga",PVT,APALIT HEMODIALYSIS CENTER CORPORATION,16,Dr. Angelito A. Rioveros,99999155,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,PAMPANGA,,"Purok V, Brgy. Fortuna, Floridablanca, Pampanga",PVT,FLORIDABLANCA HEMODIALYSIS CENTER CORP.,18,Dr. Ismael G. Ramos,045-4026929 / 0909-5792416 / 0920-8798148,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,PAMPANGA,,"National Highway, Brgy. San Antonio, Guagua, Pampanga",PVT,"GC HEMODYNAMIX, INC.",15,Dr. Alexandro S. Sese,0917-6061726,"Sept. 17, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,PAMPANGA,,"Guagua Town Center, Jose Abad Santos Ave., Brgy. San Matias, Guagua, Pampanga",PVT,HOPE DIALYSIS CENTER,19,Dr. Mary Grace Angelica Gomez,0977-8198340,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,PAMPANGA,,"Annex Bldg, ERDH Compound, San Nicolas I, Lubao, Pampanga",PVT,ST. AGUSTINE DIALYSIS CENTER INC.,4,Dr. Girlie M. Reoyan,(45) 402 6929,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,PAMPANGA,,"# 01 Ocon Bldg., Purok I, San Roque Arbol, Lubao, Pampanga",PVT,ST. AGUSTINE DIALYSIS CENTER INC.,10,Dr. Jacqueline Tiglao,(45) 402 6929,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,PAMPANGA,,"Mabalacat District Hospital, Mabalacat Pampanga",PVT,"GKM DIALYSIS CENTER, INC.",5,Dr. Jaqueline Tiglao,0932-320 0874,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,PAMPANGA,,"Poblacion 1, Sta. Cruz, Magalang Pampanga",PVT,"ST. THERESA DIALYSIS CENTER, INC.",15,Dr. Jan Melvin M. Zapanta,094521-3274,"Jan. 1 , 2022 - Dec. 31, 2024"
REGION 3,CENTRAL LUZON,PAMPANGA,,Spillway Punzalan Bldg. Brgy. Sto. Rosario Mexico Pampanga,PVT,MEXICO HEMODIALYSIS CENTER CORPORATION,14,Dr. Ismael G. Ramos,09209798148 / (045) 435-7792,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,PAMPANGA,,"Jose Abad Santos Avenue Road, Brgy. Lagundi Mexico Pampanga",PVT,PENINSULA MEXICO DIAGNOSTIC CLINIC CORP. ,6,Dr. Marc Angelo P. Hizon,045-5555704,"Jan. 28, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,PAMPANGA,,"Jose Songco Lapid District Hospital Gen. Luna St., Babo Sacan, Porac, Pampanga",PVT,"JOSEPH BENEDICT HEALTHCARE ALLIANCE CENTER, INC.",6,Dr. Jan Melvin M. Zapanta,9189089168,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,PAMPANGA,Angeles City,"Holy Family Medical Center, Inc., #179 Entiero St., Brgy. Sto. Cristo, Angeles City, Pampanga",PVT,MJM RENAL CARE,8,Dr. Rene Toledano,(045) 385-2396,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,PAMPANGA,Angeles CIty,"3rd Floor W. Long Building Mac Arthur Hi-way Corner-Angeles Magalang Road, Angeles City, Pampanga",PVT,RENAL CLINICAL CARE SERVICES INC.,30,Dr. Marizel M. Catungal,9190044380,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,PAMPANGA,Angeles City,"Building 2-D, Montang Ave., Diamond Balibago, Angeles City, Pampanga",PVT,"SAINT MARY KIDNEY CARE CENTER, INC.",10,Dr. Darwin Darjuan,045-9616677 / 0917-5952021,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,PAMPANGA,Angeles City,"Unit EG Building Friendship Rd. Brgy. Pampanga, Angeles City, Pampanga",PVT,O2 MEDLINK INC. ,6,Dr. Lei Anne Carolina,9353590755,"June 18, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,PAMPANGA,Mabalacat City,"Lot 13 Block 10, Mc Arthur Highway, Mabiga, Mabalacat City, Pampanga",PVT,ACCU-RENAL MEDICAL SERVICES (ARMS) INC.,12,Dr. Jan Melvin M. Zapanta,0998-9817415,"Jan.1, 2022 to Dec.31, 2024"
REGION 3,CENTRAL LUZON,PAMPANGA,Mabalacat City,"Phase I, Sapang Biabas Resettlement Center, Mabalacat City, Pampanga",PVT,MABALACAT CITY HEMODIALYSIS CENTER,9,Dr. Ramon Jose Suarez,9161555052,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,PAMPANGA,"City of San Fernando, Pampanga","Center for Urologic Health, Brgy. Sindalan, City of San Fernando, Pampanga",PVT,"GC HEMODYNAMIX, INC.",15,"Dr. Elejandro Sese, Jr.",0917 -107-1680,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,PAMPANGA,"City of San Fernando, Pampanga","NVP Bldg., McArthur Highway, Brgy. Saguin, San Fernando City, Pampanga",PVT,HEMOTEK RENAL CENTER,15,Dr. Grace M. Nierras,(45) 455 0198,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,PAMPANGA,"City of San Fernando, Pampanga","G/F Doña Juliana Bldg., Juliana Subd., City of San Fernando, Pampanga",PVT,"NEPHROLIFE, INC.",10,Dr. Marc Angelo P. Hizon,,"Dec. 9, 2020 to Dec. 31, 2022"
