REGION,CHD,PROVINCE,CITY/ MUNICIPALITY,COMPLETE ADDRESS,OWNERSHIP,NAME OF FACILITY,SERVICES,CONTACT NO.,EMAIL ADDRESS,MEDICAL DIRECTOR,VALIDITY
REGION 2,CAGAYAN VALLEY,CAGAYAN,Abulung,"Calag Sur, Abulug, Cagayan",PVT,BUTALA OPHTHALMOLOGY CLINIC,Ophthalmologic,0906-2881586,alban.aloy@gmail.com / juanitabutala@yahoo.com,Dr. Juanita Aloy-Butala,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 2,CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"#23 Rizal St., Centro 8, Tuguegarao City, Cagayan",PVT,EYECAN CATARACT SURGERY CENTER AND EYE CARE CLINIC,Ophthalmologic,078-3960881,eyecanthuguegarao@yahoo.com.ph,"Dr. Jose V. Corpus, Jr.","Jan. 1, 2021 to Dec. 31, 2023"
REGION 2,CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"Del Rosario St., Centro 6, Tuguegarao City, Cagayan",PVT,FAMILY EYE WELLNESS CENTER,Ophthalmologic,,,,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 2,CAGAYAN VALLEY,CAGAYAN,Tuguegarao City,"Andrews Bldg., Blumentritt St., Centro 07, Tuguegarao City",PVT,NORTHWESTERN EYE CENTER,Ophthalmologic,078-8445028 / 0926-4266878,northwestern.eye@yahoo.com,Dr. David Harold Gosiengfiao,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 2,CAGAYAN VALLEY,ISABELA,San Mateo,"National Highway, Brgy. 03, San Mateo, Isabela",PVT,"ISABELA EYE CENTER, INC.",Ophthalmologic,078-3232221/0917-8412592,isabelaeyecenter@gmail.com,Dr. George V. Aczon,"Nov. 16, 2021 to Dec. 31, 2023"
REGION 2,CAGAYAN VALLEY,ISABELA,Cauayan City,"National Highway, Cabatuan Rd., Brgy. San Fermin, Cauayan City, Isabela",PVT,"GLOBAL PRIME EYE CENTER, INC.",Ophthalmologic,078-3234688/ 0917-8412592,gpeceyecenter@gmail.com,Dr. Ma. Lorena Ruth G. Capinpin,"Feb. 7, 2022 to Dec. 31, 2024"
REGION 2,CAGAYAN VALLEY,ISABELA,Cauayan City,"P. Burgos St., Dist. 2, Cauayan City, Isabela",PVT,HIMACARE UROLOGY CENTER OF CAGAYAN VALLEY,Urologic (ESWL),0915-6786723 / 260-0938,uccv_online@yahoo.com,Dr. Manuel c. Hipolito,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 2,CAGAYAN VALLEY,NUEVA VIZCAYA,,"Danguilan St., Brgy. Osmeña, Solano, Nueva Vizcaya",PVT,"ST. LUCY'S CATARACT & LASER EYE CENTER, INC.",Ophthalmologic,078-3920655,eyecenter98@yahoo.com,"Dr. Santiago G. Urmaza, Jr.","Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BATAAN,,"27 Rizal St., Brgy. Rizal, Dinalupihan, Bataan",PVT,DINALUPIHAN AMBULATORY EYE SURGICAL CLINIC,Ophthalmologic,4814236/09064623350,daesc_siocon@yahoo.com,Dr. Jose Joel Dy. Eclarinal,"Jan. 4, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BATAAN,Balanga City,"J.P. Rizal St., Poblacion, Balanga City, Bataan",PVT,BATAAN EYE REFERRAL CENTER,Ophthalmologic,(047) 2371693,bataaneyereferralcenter@yahoo.com,Dr. Niño Rey Flores,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 3,CENTRAL LUZON,BATAAN,Balanga City,"Unit 2 & 3 RCSL Bdlg., Roman Highway, Brgy. Bagong Silang, Balanga, Bataan",PVT,BAUTISTA EYE CENTER CORP.,Ophthalmologic,,,,"Jun. 9, 2023 to Dec. 31, 2025"
REGION 3,CENTRAL LUZON,BULACAN,Malolos City,"ECO Commercial Bldg., Felipe Peralta St., McArthur Highway, Brgy. Guinhawa, Malolos City, Bulacan",PVT,"BARTIMAEUS EYE CENTER, INC.",Ophthalmologic,09209328010/09328682278/09228876587,bartimaeuseycenter@yahoo.com,Dr. Angelina B. Joson,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,BULACAN,Baliuag,"2nd floor Castro Multispecialty, Dr. Gonzales St., Tibag, Baliuag, Bulacan",PVT,BALIWAG EYE CLINIC ,Ophthalmologic,7677453/0917-3163045,baleyeclinic@gmail.com/ jonmanmd@gmail.com,"Dr. Jonathan Joseph Manue, DPBO","Feb. 16, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,Baliuag,"Benigno Aquino St. Ave., Bagong Nayon, Baliuag, Bulacan",PVT,HI-PRECISION DIAGNOSTICS,"General Surgery, Colorectal, Ophthalmologic, Otorhinolaryngology, Reproductive Health, Urologic Surgery",8639999 LOC 232,bdev@hi-precision.com.ph,Dr. Edhel Santiago-Tripon,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,BULACAN,Bustos,"430 Sto. Niño St., Poblacion, Bustos, Bulacan",PVT,"ST, VINCENT EYE EAR NOSE THROAT HOSPITAL, INC.","Ophthalmologic, Otorhinolaryngologic",044-7618310,stvincenteent@yahoo.com,Dr. Debbie C. Bautista,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,Malolos City,"McArthur Highway, Brgy. Guinhawa, Malolos City, Bulacan",PVT,"SANTOS CLINIC (MALOLOS), INC.",Opthalmologic,(044)791-1101 / 7917133 fax,santosclinic@yahoo.com,"Dr. Sabino A. Santos, Jr.","Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,BULACAN,Marilao,"C. Santiago St., Poblacion II, Marilao, Bulacan",PVT,MARILAO EYE CARE CENTER,"Ophthalmologic, Otorhinolaryngologic",,,,"Apr. 20, 2023 to Dec. 31, 2025"
REGION 3,CENTRAL LUZON,BULACAN,San Jose del Monte City,"SMNE AXI 101-1, The Annex SM City North EDSA, Quezon City",PVT,THE MEDICAL CITY CLINIC @ SM SAN JOSE DEL MONTE,"General Surgery, Ophthalmologic, Otorhinolaryngologic, Urologic",441-2284 441-2919 709-8175,tmccsmsjdm@themedicalcity,"Dr. Eli Florendo, MBAH, FPSO-HNS, FPSCS","Apr. 18, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,BULACAN,Sta. Maria,"546 E6 Dulong Bayan Poblacion, Sta. Maria, Bulacan",PVT,EYE CAN CATARACT SURGERY CENTER AND EYE CARE CLINIC,Ophthalmologic,,,,"Mar. 29, 2023 to Dec. 31, 2025"
REGION 3,CENTRAL LUZON,NUEVA ECIJA,Gapan,"Purok Dakong Bayan, Sto. Cristo, Gapan, Nueva Ecija",PVT,"COMMUNITY ASSISTANCE RESOURCE OUTREACH FOR LIFE (C.A.R.O.L.) FOUNDATION EYE CENTER, INC.",Ophthalmologic,0917 302 2779,caroleyecenter@gmail.com,Dr. Roel Cabigting,"Jan. 24, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,NUEVA ECIJA,Cabanatuan City,"Block 4 Lot 12 Lakewood Phase 2, Sumacab Este, Cabanatuan City, Nueva Ecija",PVT,DRS SAVE EYE CARE CENTER,Ophthalmologic,-,DrsSaveEyeCareCenter@gmail.com,Dr. Danilo A. Acuavera,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 3,CENTRAL LUZON,PAMPANGA,Bacolor,"Jesus A. Datu Medical Center, Don Pablo St., San Vicente, Bacolor, Pampanga",PVT,"KAPAMPANGAN DEVELOPMENT FOUNDATION, INC., AMBULATORY SURGICAL CLINIC","General Surgery ,Ophthalmologic, Otorhinolaryngologic, Plastic & Reconstructive",(045) 4580027 0999-8847059,kdf.kapampangan@gmail.com,Dr. Michael Sison,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 3,CENTRAL LUZON,PAMPANGA,Angeles City,"Accumed Building 2442 Sto. Entierro St. Sta. Cristo Angeles City, Pampanga",PVT,"ACCUMED ADVANCED REPRODUCTIVE TECHNOLOGY (ACCU-ART), INC.",Reproductive,0917-1329442,accuartangeles@gmail.com,Maria Victoria R. Tan,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 3,CENTRAL LUZON,PAMPANGA,Angeles City,"066 Mac Arthur, Virgen Delos Remedios Angeles City, Pampanga",PVT,"CLINICA HENSON EYE EAR NOSE THROAT FOUNDATION, INC.","Oral-Maxillo-Facial,",0943-4339679,clinicahenzon_eent@yahoo.com,Dr. Ruben Emil Henson,"Jan. 10, 2022 to Dec. 31, 2024"
,,,,,,,"Ophthalmologic,",,,,
,,,,,,,Otorhinolaryngologic,,,,
REGION 3,CENTRAL LUZON,PAMPANGA,Angeles City,"Lot 67, Block 37, T. Claudio St., Cor. McArthur Highway Lourdes Sur East, Angeles City, Pampanga",PVT,COSY ASSISTED REPRODUCTIVE TECH. CENTER CORPORATION ,Reproductive Health,0925-8167179,csfcandivfcenter@gmail. Com,Dr. George Sy,"Dec. 15, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,PAMPANGA,Angeles City,"Joy Luck Bldg. I, McArthur Hhighway, Balibago, Angeles City",PVT,MH CHUA EYE CENTER,Ophthalmologic,9175251476,chuaeyecenter@gmail.com,Dr. Jocel L. Chua,"Jan. 10, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,PAMPANGA,City of San Fernando,"Km. McArthur Highway, Greenfield Square, Brgy. Sindalan, City of San Fernando, Pampanga",PVT,"CENTER FOR UROLOGIC HEALTH, INC.",Urologic,(045) 8603795 / 0905-4085483,,Dr. Anthony Dexter G. Griño,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 3,CENTRAL LUZON,PAMPANGA,City of San Fernando,"Mother Teresa of Calcutta Medical Center, McArthur Highway, Brgy. Maimpis, City of San Fernando, Pampanga",PVT,"CENTRAL LUZON INTEGRATED ONCOLOGY CENTER, INC.",General Surgery,917 899 6626,,Dr. Jerome R. Maule,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,PAMPANGA,City of San Fernando,"2nd Level Starmill Pampanga, San Jose, City of San Fernando, Pampanga",PVT,I.E.C. EYE CENTER,Ophthalmologic,(045) 6360023,internationaleyecenter@yahoo.com,Dr. Joel Y. Carreon,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 3,CENTRAL LUZON,PAMPANGA,City of San Fernando,"Gemsville Subd., Olongapo-Gapan Road, Brgy. Dolores, City of San Fernando, Pampanga",PVT,"KAPAMPANGAN DEVELOPMENT FOUNDATION, INC.","Ophthalmologic, Plastic & Reconstructive",(045) 4580027 / 0917-5628673,,Dr. Michael Dominic Sison,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,TARLAC,Paniqui,"# 167 M.H. Del PIlar St. Poblacion Norte, Paniqui Tarlac",PVT,CHU EYE CARE CENTER ,Ophthallologic,045-4708260,chueyecarecenter@gmail.com,Dr. Cesar M. Chu,"July 16, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,TARLAC,Concepcion,"F. Timbol, San Nicoals. Poblacion, Concepcion, Tarlac",PVT,STA. LUCIA EYE CENTER AND MULTI-SPECIALTY CLINIC,"General Surgery, Ophthalmologic, Otolryngologc",0917 5426178,stalucia2011@yahoo.com,Dr. Darwin Castro Suarez,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,TARLAC,Concepcion,"L. Cortes cor. Plaridel St., San Nicolas, Concepcion, Tarlac",PVT,"DR. ZEN HEALTHCARE, INC.","General Surgery, Ophthalmologic",0950-024 4360,mhctarlac@gmail.com,Dr. Ma. Teresa Loja,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,ZAMBALES,Olongapo City,"2nd floor AVJI Bldg. 74A 20th Street East Bajac Bajac, Olongapo City, Zambales",PVT,OLONGAPO AMBULATORY CARE MULTI-SPECIALTY CLINIC ,"General Surgery, Otorhinolaryngologic, Plastic and Reconstructive, Reproductive Health, Urologic",0917-82222877,olongapoambulatory@gmail.com,Dr. Maellen Joye A. Saldua,"July 22, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,ZAMBALES,Olongapo City,"#15154 Rizal Ave., West Tapinac, Olongapo City, Zambales",PVT,SEE ECLARINAL EYE CENTER,Opthalmologic,047-2233493,seecenter20@gmail.com,Dr. Jose Joel O. Eclarinal,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,BATANGAS,,"National Road, Brgy, San Roque, Rosario, Batangas",PVT,"MEDICAL HEALTH EXPERTS AND ASSOCIATES, INC.","General Surgery, Orthopedic",043-7408825,medicalexperts_rrosario@yahoo.com,Dr. Aris Antonino Peña,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,BATANGAS,Sto. Tomas,"Sierra Makiling Bldg., Km 61, Maharlika Highway, San Antonio, Sto. Tomas, Batangas",PVT,SIERRA MAKILING HEALTH CORPORATION,Ophthalmologic,043-4305583,smhcorp@yahoo.com,Dr. Arniflyn Marasigan-Aguirre,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,CAVITE,Bacoor,"Alfante Bldg., Tirona Highway, Brgy. Habay I, Bacoor, Cavite",PVT,FORSIGHT EYE CENTER,Ophthalmologic,,,,"Apr. 19, 2023 to Dec. 31, 2025"
REGION 4A,CALABARZON,CAVITE,Tanza,"20/20 Bldg., #240 Soriano Highway, Daang Amaya 3, Tanza, Cavite",PVT,IDOC AMBULATORY EYE CARE CLINIC ,Ophthalmologic,0917-5514207/ 0975-3003728,idocaec2020@gmail.com,Dr. Philip Cesar A. Arayata,"Jan. 30, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,CAVITE,Dasmariñas City,"De La Salle University Medical Center (DLSUMC) Compound, Gov. D. Mangubat Ave., Dasmariñas City, Cavite",PVT,PHILIPPINE ONCOLOGY CENTER CORPORATION,General Surgery,02-2832232,info.RT.lasalle@gmail.com,Dr. Vicente Francisco R. Hizon,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,CAVITE,Dasmariñas City,"Erja Bldg., Burol 1, Congressional Road, Dasmariñas City, Cavite",PVT,"WELLCARE CLINIC & LABORATORY, INC.","General Surgery, Ophthalmologic",(046) 416-6529 / 4166530,mechelleminas@wellcareclinics.com,Dr. Inocencia Dioquino,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,CAVITE,Imus City,"NIA Road, Brgy, Alapan 1-C, Imus City, Cavite",PVT,DIVINE GRACE MEDICAL CENTER,General Surgery,046-4584675,dgmcimus@gmail.com,Dr. Jose Ronaldo delos Santos,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,LAGUNA,Alaminos,"360 M.H. Del Pilar St., Brgy. Poblacion, Alaminos, Laguna",PVT,SAINT ODILE SURGICENTER,"General Surgery, Ophthalmologic, Otorhinolaryngologic",049-5210764,st.odilesurgicenter@gmail.com,Dr. Jonathan G. Soriano,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,LAGUNA,Bay,"National Highway, Brgy. Maitim, Bay, Laguna",PVT,"GLOBAL CARE CANCER INSTITUTE, INC. ","General Surgery, Thoracic",049-5028527 / 0919-0656172,compliance.gcci@outlook.com,Dr. Necy S. Juat,"Dec. 14, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,LAGUNA,Biñan City,"3/F APMWC Tower One Asia bus, Center Jubilation Loop, Sto. Niño, Biñan City, Laguna",PVT,"ASPAC EYE LASER AND SURGICENTER, INC.",Ophthalmologic,049-5135411 / 0919-0626787,Info.aspaceyelaser@gmail.com,Dr. Noel S. Cariño,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,LAGUNA,Biñan City,"79 Gen. Malvar St., San Vicente, City of Biñan, Laguna",PVT,CORNERSTONE AMBULATORY CLINIC ,"General Surgery, Reproductive Health",049-5116068 / 0917-8374677,avalanche77ph@yahoo.com,Dr. Adrigel Ancheta,"May 4, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,LAGUNA,Sta. Rosa City,"1898 Provincial Road, Brgy. Dita, Sta. Rosa City, Laguna",PVT,SY MEDICAL CLINIC ,Orthopedic,0917-5291262,symedicalclinic@gmail.com,Dr. Sarah Bernadette S. Sy,"July 26, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,QUEZON,Unisan,"Ibabang Kalilangan, Unisan, Quezon",PVT,BONPEN AMBULATORY SURGICAL AND DIAGNOSTIC CENTER,"General Surgery, Ophthalmologic",042-5498547,bonpenasc@yahoo.com,Dr. Leandro E. Carillo,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 4A,CALABARZON,QUEZON,Catanauan,"M.H. del Pilar St., Brgy. 08, Catanauan, Quezon",PVT,CATANAUAN EYE CARE CENTER ,Ophthalmologic,0998-5544613 / 0968-8520701,catanauaneyecenter@gmail.com,Dr. Josefina R. Calingasan,"Nov. 11, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,QUEZON,Lucena City,"Quezon Ave. Ext., Brgy. XI, Lucena City",PVT,LUCENA EYE CENTER,Ophthalmologic,042-7105775,eyecenterlucena@gmail.com,Dr. Rolando Tomas A. Correa,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,RIZAL,Cainta,"Basement Level, Phase II, Sta. Lucia East Grand Mall, Marcos Highway cor. Felix Ave., Cainta, Rizal",PVT,STA. LUCIA HEALTH CARE CENTRE,"General Surgery, Ophthalmologic, Orthopedic, Otorhinolaryngologic, Reproductive Health",86472870/2546,staluciacares_hr@yahoo.com,Dr. Irish Cecile D. Perez,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,RIZAL,Cainta,"G/F Sta. Lucia East Grand Mall, Marcos Highway cor. Felix Ave., Cainta, Rizal",PVT,THE MEDICAL CITY CLINIC @ MARIKINA,"General Surgery, Ophthalmologic, Orthopedic, Otolaryngologic, Pediatric, Plastic & Reconstructive, Reproductive Health, Urologic",6825239/8356862 loc. 7121-7125,tmcstalucia@themedicalcity.com,Dr. Melani H. Sionzon,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 4A,CALABARZON,RIZAL,San Mateo,"#76 Gen. Luna St., Ampid II, San Mateo, Rizal",PVT,CLINICA CRISTI-CATALUÑA,"General Surgery, Ophthalmologic, Otorhinolaryngologic",7971-1510/ 0917-8651510,clinicacristi@yahoo.com,Dr. Maria Isabel C. Cataluña,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,RIZAL,San Mateo,"Unit 311-312 SM City San Mateo, Brgy. Ampid I, San Mateo, Rizal",PVT,NOVAGEN EYE CENTER CO.,Ophthalmologic,02-86560730,info@afordablecataract.com,Dr. Erwin D. Palisoc,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,RIZAL,Antipolo City,"A-212 Upper Ground Al Fresco Robinsons Place Antipolo, Sumulong Highway, Antipolo City, Rizal",PVT,UNITED GLOBAL SPECIALTY CENTER CORPORATION,"General Surgery, Ophthalmologic, Otorhinolaryngologic",02-76225504 / 0917-8290507,unitedglobalspecialty@yahoo.com,Dr. Elmer S. Espino,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4B,MIMAROPA,,San Jose,"P. Burgos St., Pag-asa, San Jose, Occidental Mindoro",PVT,SALCEDO MEDICAL - SURGICAL CLINIC,"Colorectal, General Surgery",(043) 457-0108,,Dr. Levilester B. Salcedo,"Jan. 1, 2022 to Dec. 31, 2025"
REGION 4B,MIMAROPA,,Puerto Prinsesa City,"A.T.O. Plaza Bldg., National Highway, San Pedro, Puerto Princesa City, Palawan",PVT,PALAWAN EYE CENTER,"General Surgery, Ophthalmologic, Reproductive Health, Urologic",0906 346 8475,palawaneye@gmail.com,Dr. Jesus N. Ong,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 5,BICOL,ALBAY,Legaspi City,"Landco Business Park, Capantawan, Legaspi City, Albay",PVT,"LECEYEMED, INC.",Ophthalmologic,0908-8981200,legazpieye@gmail.com,Dr. Rollo Milante,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 5,BICOL,CAMARINES SUR,Naga City,"Unit 1, NICC Bldg., Roxas Ave., Diversion road, Triangulo, Naga City",PVT,"BICOL STONE CENTER, INC.",Urologic - Lithotripsy (ESWL),(054) 871 3046,bicolstonecenter@gmail.com,Dr. Rosito T. Bascuña,"Jan. 1, 2022 to Dec. 31, 2025"
REGION 5,BICOL,CAMARINES SUR,Naga City,"Door C. Yorktown Panganiban Drive Tinago Naga City, Camarines Sur",PVT,BICOL WOUND CARE AND AMBULATORY SURGERY,General Surgery,9955102426,,Dr. Giovanni Getulio Zanarosa,"Dec. 7, 2022 to Dec. 31, 2024"
REGION 5,BICOL,CATANDUANES,Virac,"Rizal Ave., Gogon, Sirangan, Virac, Catanduanes",PVT,CATANDUANES EYE CENTER,Ophthalmologic,0999-4347370,catanduanesayecenter97@gmail.com,Dr. Joselito D.C. Urgel,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 6,WESTERN VISAYAS,CAPIZ,Roxas City,"G/F Adame Bldg., Arnaldo Blvd., Roxas City, Capiz",PVT,AGUIRRE EYE & ENT SPECIALIST,Ophthalmologic,036-5206415/09176543042,aguirreeent@yahoo.com,Dr. Dennis T. Aguirre,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"Unit 827 Second floor, Festive Walk Mall, iloilo City, Iloilo",PVT,BOROUGH LASIK CENTER,Ophthalmologic,9177916914,may.cagulada@boroughsight.com,Dr. Nathaniel Chan,"Jan. 1, 2022 to Dec. 31, 2025"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"8/F Health Partners Condo. Clinics, Benigno Aquino Ave., San Rafael, Mandurriao, Iloilo City",PVT,MEDICUS AMBULATORY HEALTHCARE CENTER,"Colorectal, General Surgery, Ophthalmologic, Oral & Maxillo Facial, Orthopedic, Otolaryngologic, Pediatric, Plastic & Reconstructive, Reproductive Health, Thoracic, Urologic",(033) 508-5488,,Dr. Jaime M. Manila,"Jan. 1, 2022 to Dec. 31, 2025"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"G/F EFB Block, Jalandoni St., Jaro, Iloilo City",PVT,MIDWEST UROLOGY AND STONE CENTER,Urologic,033-3301756,midwesturologycenter@yahoo.com,Dr. Pedro Tingson,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 6,WESTERN VISAYAS,ILOILO,Iloilo City,"YGQ Bldg., Pacencia Pison Avenue, San Rafael, Mandurriao, Iloilo City",PVT,SKINETICS MEDICAL DAY SPA & SKIN CENTER,Oral & Maxillo Facial,033-3208726,skinetics_iloilo@yahoo.com,Dr. Yule G. Quiampang,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 6,WESTERN VISAYAS,NEGROS OCCIDENTAL,Pulupandan,"Barrio Mabini, Crossing Pulupandan, Negros Occidental",PVT,HOLY TRINITY MEDICAL SURGICAL CLINIC,General Surgery,(034) 4761235 / 0921-6628282,drtogle@yahoo.com,Dr. Jose Tabang,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"10th floor, Velez Medical Arts Building, V. Ranudo St., Cogon Ramos, Cebu City",PVT,ACES LASER AND SURGICENTER,Ophthalmologic,(032) 2539327,licensecomplianceofficer@aceseye.com,Dr. Vitorio N. Cajita,"Jan. 6, 2021 to Dec. 31, 2023"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"Level 4, Rm 401 Robinsons Cybergate Cebu, J.Llorente St. cor. Don Gil Garcia Street, Brgy. Capitol, Cebu City, Cebu",PVT,CEBU ORTHOPAEDIC INSTITUTE COMPANY,Orthopedic,032-2392211,cebuorthoinst@gmail.com,Dr. Jose Z. Flordeliz,"Jan. 1, 2023 to Dec. 31, 2025"
